-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
28.5,75.5,2022,1,1,3.6005
28.5,76.5,2022,1,1,3.2052
28.5,77.5,2022,1,1,3.2326
29.5,75.5,2022,1,1,3.1411
29.5,76.5,2022,1,1,3.3389
29.5,77.5,2022,1,1,3.0427
30.5,75.5,2022,1,1,3.5808
30.5,76.5,2022,1,1,3.7013
30.5,77.5,2022,1,1,3.8513
28.5,75.5,2022,1,2,3.2986
28.5,76.5,2022,1,2,2.8618
28.5,77.5,2022,1,2,2.9018
29.5,75.5,2022,1,2,3.0962
29.5,76.5,2022,1,2,3.132
29.5,77.5,2022,1,2,3.0823
30.5,75.5,2022,1,2,3.4733
30.5,76.5,2022,1,2,3.5304
30.5,77.5,2022,1,2,3.4387
28.5,75.5,2022,1,3,3.6494
28.5,76.5,2022,1,3,3.1812
28.5,77.5,2022,1,3,3.1644
29.5,75.5,2022,1,3,3.4661
29.5,76.5,2022,1,3,3.6962
29.5,77.5,2022,1,3,3.7416
30.5,75.5,2022,1,3,3.0974
30.5,76.5,2022,1,3,3.3715
30.5,77.5,2022,1,3,3.779
28.5,75.5,2022,1,4,2.3782
28.5,76.5,2022,1,4,2.6203
28.5,77.5,2022,1,4,2.7694
29.5,75.5,2022,1,4,1.2434
29.5,76.5,2022,1,4,2.1322
29.5,77.5,2022,1,4,2.177
30.5,75.5,2022,1,4,0.9228
30.5,76.5,2022,1,4,1.0318
30.5,77.5,2022,1,4,0.9518
28.5,75.5,2022,1,5,0.8964
28.5,76.5,2022,1,5,0.7718
28.5,77.5,2022,1,5,0.774
29.5,75.5,2022,1,5,0.8206
29.5,76.5,2022,1,5,0.8287
29.5,77.5,2022,1,5,0.8057
30.5,75.5,2022,1,5,0.803
30.5,76.5,2022,1,5,0.7891
30.5,77.5,2022,1,5,0.7682
28.5,75.5,2022,1,6,1.7057
28.5,76.5,2022,1,6,2.1826
28.5,77.5,2022,1,6,2.2596
29.5,75.5,2022,1,6,1.2797
29.5,76.5,2022,1,6,2.1295
29.5,77.5,2022,1,6,2.1379
30.5,75.5,2022,1,6,1.3159
30.5,76.5,2022,1,6,2.2234
30.5,77.5,2022,1,6,2.4362
28.5,75.5,2022,1,7,2.999
28.5,76.5,2022,1,7,1.6853
28.5,77.5,2022,1,7,1.5086
29.5,75.5,2022,1,7,2.2666
29.5,76.5,2022,1,7,1.9606
29.5,77.5,2022,1,7,1.4726
30.5,75.5,2022,1,7,1.2403
30.5,76.5,2022,1,7,1.2005
30.5,77.5,2022,1,7,1.5682
28.5,75.5,2022,1,8,2.0902
28.5,76.5,2022,1,8,1.1222
28.5,77.5,2022,1,8,0.5033
29.5,75.5,2022,1,8,1.2682
29.5,76.5,2022,1,8,0.9334
29.5,77.5,2022,1,8,1.2377
30.5,75.5,2022,1,8,0.8078
30.5,76.5,2022,1,8,1.8175
30.5,77.5,2022,1,8,1.0128
28.5,75.5,2022,1,9,2.3669
28.5,76.5,2022,1,9,1.3697
28.5,77.5,2022,1,9,1.1626
29.5,75.5,2022,1,9,2.0861
29.5,76.5,2022,1,9,0.8746
29.5,77.5,2022,1,9,1.4251
30.5,75.5,2022,1,9,1.6502
30.5,76.5,2022,1,9,0.8494
30.5,77.5,2022,1,9,1.2929
28.5,75.5,2022,1,10,3.6922
28.5,76.5,2022,1,10,2.9887
28.5,77.5,2022,1,10,3.0182
29.5,75.5,2022,1,10,3.2738
29.5,76.5,2022,1,10,2.7941
29.5,77.5,2022,1,10,2.8807
30.5,75.5,2022,1,10,2.9107
30.5,76.5,2022,1,10,2.9974
30.5,77.5,2022,1,10,2.9998
28.5,75.5,2022,1,11,1.7498
28.5,76.5,2022,1,11,2.3911
28.5,77.5,2022,1,11,3.2234
29.5,75.5,2022,1,11,1.1678
29.5,76.5,2022,1,11,1.3711
29.5,77.5,2022,1,11,1.9486
30.5,75.5,2022,1,11,1.919
30.5,76.5,2022,1,11,1.9224
30.5,77.5,2022,1,11,2.718
28.5,75.5,2022,1,12,2.4989
28.5,76.5,2022,1,12,2.6398
28.5,77.5,2022,1,12,2.713
29.5,75.5,2022,1,12,1.6613
29.5,76.5,2022,1,12,1.7136
29.5,77.5,2022,1,12,1.9598
30.5,75.5,2022,1,12,2.7821
30.5,76.5,2022,1,12,2.8349
30.5,77.5,2022,1,12,3.1819
28.5,75.5,2022,1,13,2.5018
28.5,76.5,2022,1,13,2.1353
28.5,77.5,2022,1,13,2.1838
29.5,75.5,2022,1,13,1.3457
29.5,76.5,2022,1,13,1.7398
29.5,77.5,2022,1,13,1.8163
30.5,75.5,2022,1,13,1.8698
30.5,76.5,2022,1,13,1.8125
30.5,77.5,2022,1,13,2.833
28.5,75.5,2022,1,14,1.8634
28.5,76.5,2022,1,14,1.475
28.5,77.5,2022,1,14,1.6262
29.5,75.5,2022,1,14,1.5043
29.5,76.5,2022,1,14,2.0995
29.5,77.5,2022,1,14,1.945
30.5,75.5,2022,1,14,1.6126
30.5,76.5,2022,1,14,1.8854
30.5,77.5,2022,1,14,3.5678
28.5,75.5,2022,1,15,2.3986
28.5,76.5,2022,1,15,0.895
28.5,77.5,2022,1,15,0.9221
29.5,75.5,2022,1,15,2.2159
29.5,76.5,2022,1,15,1.8463
29.5,77.5,2022,1,15,1.6152
30.5,75.5,2022,1,15,1.7983
30.5,76.5,2022,1,15,1.7717
30.5,77.5,2022,1,15,3.3403
28.5,75.5,2022,1,16,3.0506
28.5,76.5,2022,1,16,2.6921
28.5,77.5,2022,1,16,2.3479
29.5,75.5,2022,1,16,1.819
29.5,76.5,2022,1,16,1.7693
29.5,77.5,2022,1,16,1.5463
30.5,75.5,2022,1,16,1.5043
30.5,76.5,2022,1,16,1.3118
30.5,77.5,2022,1,16,2.5097
28.5,75.5,2022,1,17,2.7214
