-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
28.5,75.5,2025,1,1,2.6395
28.5,76.5,2025,1,1,1.7316
28.5,77.5,2025,1,1,2.1576
29.5,75.5,2025,1,1,1.5758
29.5,76.5,2025,1,1,1.71
29.5,77.5,2025,1,1,1.6476
30.5,75.5,2025,1,1,1.9267
30.5,76.5,2025,1,1,1.8684
30.5,77.5,2025,1,1,2.7761
28.5,75.5,2025,1,2,2.7346
28.5,76.5,2025,1,2,2.2085
28.5,77.5,2025,1,2,2.3964
29.5,75.5,2025,1,2,1.9282
29.5,76.5,2025,1,2,2.0028
29.5,77.5,2025,1,2,1.8504
30.5,75.5,2025,1,2,1.6786
30.5,76.5,2025,1,2,1.7052
30.5,77.5,2025,1,2,2.7192
28.5,75.5,2025,1,3,3.2232
28.5,76.5,2025,1,3,2.4197
28.5,77.5,2025,1,3,2.3753
29.5,75.5,2025,1,3,1.9894
29.5,76.5,2025,1,3,1.7664
29.5,77.5,2025,1,3,1.7378
30.5,75.5,2025,1,3,2.2687
30.5,76.5,2025,1,3,2.021
30.5,77.5,2025,1,3,2.7989
28.5,75.5,2025,1,4,4.0829
28.5,76.5,2025,1,4,3.5383
28.5,77.5,2025,1,4,2.1782
29.5,75.5,2025,1,4,3.216
29.5,76.5,2025,1,4,2.1955
29.5,77.5,2025,1,4,1.9591
30.5,75.5,2025,1,4,2.0616
30.5,76.5,2025,1,4,2.2037
30.5,77.5,2025,1,4,3.4858
28.5,75.5,2025,1,5,2.8807
28.5,76.5,2025,1,5,2.1242
28.5,77.5,2025,1,5,2.5596
29.5,75.5,2025,1,5,1.573
29.5,76.5,2025,1,5,2.341
29.5,77.5,2025,1,5,3.2743
30.5,75.5,2025,1,5,2.7293
30.5,76.5,2025,1,5,3.5088
30.5,77.5,2025,1,5,3.5983
28.5,75.5,2025,1,6,2.5793
28.5,76.5,2025,1,6,0.9926
28.5,77.5,2025,1,6,1.9538
29.5,75.5,2025,1,6,1.3356
29.5,76.5,2025,1,6,1.3838
29.5,77.5,2025,1,6,2.1718
30.5,75.5,2025,1,6,1.3109
30.5,76.5,2025,1,6,2.8759
30.5,77.5,2025,1,6,2.629
28.5,75.5,2025,1,7,3.7145
28.5,76.5,2025,1,7,2.3899
28.5,77.5,2025,1,7,1.3056
29.5,75.5,2025,1,7,2.7766
29.5,76.5,2025,1,7,1.7698
29.5,77.5,2025,1,7,1.2487
30.5,75.5,2025,1,7,2.4262
30.5,76.5,2025,1,7,1.6795
30.5,77.5,2025,1,7,3.2731
28.5,75.5,2025,1,8,4.1345
28.5,76.5,2025,1,8,3.8621
28.5,77.5,2025,1,8,3.7836
29.5,75.5,2025,1,8,3.7843
29.5,76.5,2025,1,8,3.659
29.5,77.5,2025,1,8,3.4994
30.5,75.5,2025,1,8,3.8597
30.5,76.5,2025,1,8,3.6682
30.5,77.5,2025,1,8,3.935
28.5,75.5,2025,1,9,4.2089
28.5,76.5,2025,1,9,3.8779
28.5,77.5,2025,1,9,3.4121
29.5,75.5,2025,1,9,3.7186
29.5,76.5,2025,1,9,3.1591
29.5,77.5,2025,1,9,2.4845
30.5,75.5,2025,1,9,3.8314
30.5,76.5,2025,1,9,3.1702
30.5,77.5,2025,1,9,3.7529
28.5,75.5,2025,1,10,3.6883
28.5,76.5,2025,1,10,2.2795
28.5,77.5,2025,1,10,2.3134
29.5,75.5,2025,1,10,1.4911
29.5,76.5,2025,1,10,1.4933
29.5,77.5,2025,1,10,2.0918
30.5,75.5,2025,1,10,1.6814
30.5,76.5,2025,1,10,2.2766
30.5,77.5,2025,1,10,2.9995
28.5,75.5,2025,1,11,0.7937
28.5,76.5,2025,1,11,1.0558
28.5,77.5,2025,1,11,1.9841
29.5,75.5,2025,1,11,0.6936
29.5,76.5,2025,1,11,1.3164
29.5,77.5,2025,1,11,2.3407
30.5,75.5,2025,1,11,1.0255
30.5,76.5,2025,1,11,1.7866
30.5,77.5,2025,1,11,2.5541
28.5,75.5,2025,1,12,1.0054
28.5,76.5,2025,1,12,1.1218
28.5,77.5,2025,1,12,1.4659
29.5,75.5,2025,1,12,1.181
29.5,76.5,2025,1,12,0.8986
29.5,77.5,2025,1,12,1.157
30.5,75.5,2025,1,12,1.7998
30.5,76.5,2025,1,12,1.717
30.5,77.5,2025,1,12,1.5422
28.5,75.5,2025,1,13,2.4041
28.5,76.5,2025,1,13,2.3155
28.5,77.5,2025,1,13,2.8987
29.5,75.5,2025,1,13,3.2028
29.5,76.5,2025,1,13,3.505
29.5,77.5,2025,1,13,3.5376
30.5,75.5,2025,1,13,3.7438
30.5,76.5,2025,1,13,4.074
30.5,77.5,2025,1,13,4.0807
28.5,75.5,2025,1,14,3.2892
28.5,76.5,2025,1,14,3.1598
28.5,77.5,2025,1,14,3.245
29.5,75.5,2025,1,14,3.5314
29.5,76.5,2025,1,14,3.703
29.5,77.5,2025,1,14,3.2609
30.5,75.5,2025,1,14,3.9343
30.5,76.5,2025,1,14,4.0382
30.5,77.5,2025,1,14,4.0742
28.5,75.5,2025,1,15,2.9904
28.5,76.5,2025,1,15,1.5787
28.5,77.5,2025,1,15,1.1215
29.5,75.5,2025,1,15,3.1022
29.5,76.5,2025,1,15,2.0786
29.5,77.5,2025,1,15,1.927
30.5,75.5,2025,1,15,3.2861
30.5,76.5,2025,1,15,3.2669
30.5,77.5,2025,1,15,3.6485
28.5,75.5,2025,1,16,2.4494
28.5,76.5,2025,1,16,2.221
28.5,77.5,2025,1,16,2.2543
29.5,75.5,2025,1,16,2.1084
29.5,76.5,2025,1,16,2.6256
29.5,77.5,2025,1,16,2.3038
30.5,75.5,2025,1,16,1.8689
30.5,76.5,2025,1,16,2.5207
30.5,77.5,2025,1,16,1.6282
28.5,75.5,2025,1,17,2.4139
28.5,76.5,2025,1,17,2.0743
28.5,77.5,2025,1,17,2.9698
29.5,75.5,2025,1,17,2.0693
29.5,76.5,2025,1,17,2.4636
29.5,77.5,2025,1,17,3.1697
30.5,75.5,2025,1,17,3.3814
30.5,76.5,2025,1,17,3.383
30.5,77.5,2025,1,17,3.9874
28.5,75.5,2025,1,18,2.9429
28.5,76.5,2025,1,18,2.9923
28.5,77.5,2025,1,18,2.9484
29.5,75.5,2025,1,18,1.7575
29.5,76.5,2025,1,18,1.8163
29.5,77.5,2025,1,18,1.9567
30.5,75.5,2025,1,18,2.1353
30.5,76.5,2025,1,18,1.8012
30.5,77.5,2025,1,18,2.3803
28.5,75.5,2025,1,19,3.2119
28.5,76.5,2025,1,19,3.271
28.5,77.5,2025,1,19,3.2758
29.5,75.5,2025,1,19,2.5759
29.5,76.5,2025,1,19,3.3084
29.5,77.5,2025,1,19,3.3199
30.5,75.5,2025,1,19,2.6258
30.5,76.5,2025,1,19,3.4598
30.5,77.5,2025,1,19,3.4339
28.5,75.5,2025,1,20,3.4481
28.5,76.5,2025,1,20,3.4183
28.5,77.5,2025,1,20,3.4944
29.5,75.5,2025,1,20,3.4802
29.5,76.5,2025,1,20,3.5592
29.5,77.5,2025,1,20,3.3118
30.5,75.5,2025,1,20,3.2482
30.5,76.5,2025,1,20,3.3698
30.5,77.5,2025,1,20,2.6191
28.5,75.5,2025,1,21,4.0584
28.5,76.5,2025,1,21,3.8923
28.5,77.5,2025,1,21,3.8606
29.5,75.5,2025,1,21,3.8318
29.5,76.5,2025,1,21,3.8573
29.5,77.5,2025,1,21,3.6658
30.5,75.5,2025,1,21,2.959
30.5,76.5,2025,1,21,2.7857
30.5,77.5,2025,1,21,2.6364
28.5,75.5,2025,1,22,2.947
28.5,76.5,2025,1,22,3.299
28.5,77.5,2025,1,22,3.4882
29.5,75.5,2025,1,22,3.7577
29.5,76.5,2025,1,22,3.9043
29.5,77.5,2025,1,22,3.7445
30.5,75.5,2025,1,22,4.0625
30.5,76.5,2025,1,22,4.2336
30.5,77.5,2025,1,22,4.2725
28.5,75.5,2025,1,23,4.2696
28.5,76.5,2025,1,23,3.4159
28.5,77.5,2025,1,23,3.2873
29.5,75.5,2025,1,23,4.0349
29.5,76.5,2025,1,23,3.7514
29.5,77.5,2025,1,23,3.7457
30.5,75.5,2025,1,23,3.9665
30.5,76.5,2025,1,23,4.0296
30.5,77.5,2025,1,23,3.6005
28.5,75.5,2025,1,24,4.6673
28.5,76.5,2025,1,24,4.5199
28.5,77.5,2025,1,24,4.4983
29.5,75.5,2025,1,24,4.3997
29.5,76.5,2025,1,24,4.254
29.5,77.5,2025,1,24,4.2269
30.5,75.5,2025,1,24,4.3538
30.5,76.5,2025,1,24,4.4515
30.5,77.5,2025,1,24,4.4813
28.5,75.5,2025,1,25,4.9202
28.5,76.5,2025,1,25,4.8559
28.5,77.5,2025,1,25,4.1167
29.5,75.5,2025,1,25,4.6447
29.5,76.5,2025,1,25,4.5257
29.5,77.5,2025,1,25,4.4868
30.5,75.5,2025,1,25,4.4758
30.5,76.5,2025,1,25,4.6142
30.5,77.5,2025,1,25,4.5437
28.5,75.5,2025,1,26,4.9214
28.5,76.5,2025,1,26,4.8062
28.5,77.5,2025,1,26,4.7412
29.5,75.5,2025,1,26,4.5634
29.5,76.5,2025,1,26,4.4124
29.5,77.5,2025,1,26,4.3416
30.5,75.5,2025,1,26,4.5955
30.5,76.5,2025,1,26,4.6642
30.5,77.5,2025,1,26,4.6375
28.5,75.5,2025,1,27,4.9322
28.5,76.5,2025,1,27,4.6668
28.5,77.5,2025,1,27,4.5833
29.5,75.5,2025,1,27,4.5204
29.5,76.5,2025,1,27,4.3495
29.5,77.5,2025,1,27,3.9053
30.5,75.5,2025,1,27,4.5521
30.5,76.5,2025,1,27,4.7105
30.5,77.5,2025,1,27,4.6222
28.5,75.5,2025,1,28,4.811
28.5,76.5,2025,1,28,4.6766
28.5,77.5,2025,1,28,4.6606
29.5,75.5,2025,1,28,4.4429
29.5,76.5,2025,1,28,4.2094
29.5,77.5,2025,1,28,3.8364
30.5,75.5,2025,1,28,4.4849
30.5,76.5,2025,1,28,4.6229
30.5,77.5,2025,1,28,4.5559
28.5,75.5,2025,1,29,4.7052
28.5,76.5,2025,1,29,4.3766
28.5,77.5,2025,1,29,4.3404
29.5,75.5,2025,1,29,4.045
29.5,76.5,2025,1,29,3.7822
29.5,77.5,2025,1,29,3.8666
30.5,75.5,2025,1,29,3.6794
30.5,76.5,2025,1,29,4.0147
30.5,77.5,2025,1,29,4.044
28.5,75.5,2025,1,30,4.6697
28.5,76.5,2025,1,30,4.3505
28.5,77.5,2025,1,30,4.231
29.5,75.5,2025,1,30,3.5765
29.5,76.5,2025,1,30,3.7975
29.5,77.5,2025,1,30,3.7918
30.5,75.5,2025,1,30,3.6718
30.5,76.5,2025,1,30,4.3298
30.5,77.5,2025,1,30,4.3248
28.5,75.5,2025,1,31,2.7449
28.5,76.5,2025,1,31,3.295
28.5,77.5,2025,1,31,4.1251
29.5,75.5,2025,1,31,1.9164
29.5,76.5,2025,1,31,2.5862
29.5,77.5,2025,1,31,3.5234
30.5,75.5,2025,1,31,2.8483
30.5,76.5,2025,1,31,4.0586
30.5,77.5,2025,1,31,4.4318
28.5,75.5,2025,2,1,3.6007
28.5,76.5,2025,2,1,3.3322
28.5,77.5,2025,2,1,3.751
29.5,75.5,2025,2,1,1.8818
29.5,76.5,2025,2,1,2.9532
29.5,77.5,2025,2,1,3.5162
30.5,75.5,2025,2,1,1.3176
30.5,76.5,2025,2,1,2.9345
30.5,77.5,2025,2,1,4.2
28.5,75.5,2025,2,2,3.6758
28.5,76.5,2025,2,2,3.2537
28.5,77.5,2025,2,2,3.462
29.5,75.5,2025,2,2,2.9746
29.5,76.5,2025,2,2,3.3449
29.5,77.5,2025,2,2,3.5069
30.5,75.5,2025,2,2,2.5289
30.5,76.5,2025,2,2,4.3003
30.5,77.5,2025,2,2,4.739
28.5,75.5,2025,2,3,4.1674
28.5,76.5,2025,2,3,3.7457
28.5,77.5,2025,2,3,4.0433
29.5,75.5,2025,2,3,3.2011
29.5,76.5,2025,2,3,3.6974
29.5,77.5,2025,2,3,3.931
30.5,75.5,2025,2,3,3.2599
30.5,76.5,2025,2,3,3.6977
30.5,77.5,2025,2,3,4.5977
28.5,75.5,2025,2,4,3.2911
28.5,76.5,2025,2,4,1.956
28.5,77.5,2025,2,4,2.1864
29.5,75.5,2025,2,4,2.5493
29.5,76.5,2025,2,4,2.3568
29.5,77.5,2025,2,4,1.7453
30.5,75.5,2025,2,4,1.9942
30.5,76.5,2025,2,4,2.7622
30.5,77.5,2025,2,4,2.1518
28.5,75.5,2025,2,5,4.8355
28.5,76.5,2025,2,5,4.6387
28.5,77.5,2025,2,5,4.6699
29.5,75.5,2025,2,5,4.2281
29.5,76.5,2025,2,5,4.3183
29.5,77.5,2025,2,5,4.255
30.5,75.5,2025,2,5,4.0606
30.5,76.5,2025,2,5,4.3678
30.5,77.5,2025,2,5,3.5597
28.5,75.5,2025,2,6,4.9385
28.5,76.5,2025,2,6,4.7969
28.5,77.5,2025,2,6,4.7016
29.5,75.5,2025,2,6,4.572
29.5,76.5,2025,2,6,4.8396
29.5,77.5,2025,2,6,4.836
30.5,75.5,2025,2,6,4.657
30.5,76.5,2025,2,6,5.0738
30.5,77.5,2025,2,6,5.1931
28.5,75.5,2025,2,7,5.0054
28.5,76.5,2025,2,7,4.841
28.5,77.5,2025,2,7,4.8588
29.5,75.5,2025,2,7,4.6073
29.5,76.5,2025,2,7,4.674
29.5,77.5,2025,2,7,4.7112
30.5,75.5,2025,2,7,4.7273
30.5,76.5,2025,2,7,4.7952
30.5,77.5,2025,2,7,4.812
28.5,75.5,2025,2,8,4.872
28.5,76.5,2025,2,8,4.8394
28.5,77.5,2025,2,8,4.8266
29.5,75.5,2025,2,8,4.5314
29.5,76.5,2025,2,8,4.6104
29.5,77.5,2025,2,8,4.5242
30.5,75.5,2025,2,8,4.4134
30.5,76.5,2025,2,8,4.6757
30.5,77.5,2025,2,8,4.5317
28.5,75.5,2025,2,9,5.0446
28.5,76.5,2025,2,9,4.9334
28.5,77.5,2025,2,9,4.8242
29.5,75.5,2025,2,9,4.7882
29.5,76.5,2025,2,9,4.6985
29.5,77.5,2025,2,9,4.7834
30.5,75.5,2025,2,9,4.6495
30.5,76.5,2025,2,9,4.7671
30.5,77.5,2025,2,9,4.7568
28.5,75.5,2025,2,10,4.5542
28.5,76.5,2025,2,10,4.2329
28.5,77.5,2025,2,10,4.362
29.5,75.5,2025,2,10,4.578
29.5,76.5,2025,2,10,4.4911
29.5,77.5,2025,2,10,4.4371
30.5,75.5,2025,2,10,4.3567
30.5,76.5,2025,2,10,4.4369
30.5,77.5,2025,2,10,4.2396
28.5,75.5,2025,2,11,4.943
28.5,76.5,2025,2,11,4.7791
28.5,77.5,2025,2,11,4.7755
29.5,75.5,2025,2,11,4.477
29.5,76.5,2025,2,11,4.6543
29.5,77.5,2025,2,11,4.6591
30.5,75.5,2025,2,11,4.158
30.5,76.5,2025,2,11,4.709
30.5,77.5,2025,2,11,4.6949
28.5,75.5,2025,2,12,4.9778
28.5,76.5,2025,2,12,5.0098
28.5,77.5,2025,2,12,4.9956
29.5,75.5,2025,2,12,4.8259
29.5,76.5,2025,2,12,5.0225
29.5,77.5,2025,2,12,5.0222
30.5,75.5,2025,2,12,4.715
30.5,76.5,2025,2,12,5.1895
30.5,77.5,2025,2,12,5.2963
28.5,75.5,2025,2,13,5.2483
28.5,76.5,2025,2,13,5.2262
28.5,77.5,2025,2,13,5.2306
29.5,75.5,2025,2,13,5.01
29.5,76.5,2025,2,13,5.2505
29.5,77.5,2025,2,13,5.2306
30.5,75.5,2025,2,13,4.8043
30.5,76.5,2025,2,13,5.1086
30.5,77.5,2025,2,13,4.969
28.5,75.5,2025,2,14,5.1511
28.5,76.5,2025,2,14,5.1521
28.5,77.5,2025,2,14,5.1828
29.5,75.5,2025,2,14,5.0321
29.5,76.5,2025,2,14,5.1288
29.5,77.5,2025,2,14,5.0882
30.5,75.5,2025,2,14,5.0131
30.5,76.5,2025,2,14,5.2745
30.5,77.5,2025,2,14,5.3645
28.5,75.5,2025,2,15,5.0604
28.5,76.5,2025,2,15,4.7916
28.5,77.5,2025,2,15,4.2893
29.5,75.5,2025,2,15,4.735
29.5,76.5,2025,2,15,4.3788
29.5,77.5,2025,2,15,3.721
30.5,75.5,2025,2,15,4.1681
30.5,76.5,2025,2,15,3.9358
30.5,77.5,2025,2,15,2.9705
28.5,75.5,2025,2,16,4.6507
28.5,76.5,2025,2,16,4.6246
28.5,77.5,2025,2,16,4.6613
29.5,75.5,2025,2,16,3.7399
29.5,76.5,2025,2,16,4.2698
29.5,77.5,2025,2,16,4.3862
30.5,75.5,2025,2,16,2.999
30.5,76.5,2025,2,16,3.3146
30.5,77.5,2025,2,16,3.4822
28.5,75.5,2025,2,17,4.8391
28.5,76.5,2025,2,17,4.3382
28.5,77.5,2025,2,17,4.4544
29.5,75.5,2025,2,17,4.9061
29.5,76.5,2025,2,17,4.9567
29.5,77.5,2025,2,17,4.9498
30.5,75.5,2025,2,17,5.1038
