-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_KT     CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_KT
28.5,75.5,2023,1,1,0.65
28.5,76.5,2023,1,1,0.6
28.5,77.5,2023,1,1,0.53
29.5,75.5,2023,1,1,0.52
29.5,76.5,2023,1,1,0.46
29.5,77.5,2023,1,1,0.32
30.5,75.5,2023,1,1,0.48
30.5,76.5,2023,1,1,0.36
30.5,77.5,2023,1,1,0.4
28.5,75.5,2023,1,2,0.59
28.5,76.5,2023,1,2,0.32
28.5,77.5,2023,1,2,0.32
29.5,75.5,2023,1,2,0.37
29.5,76.5,2023,1,2,0.31
29.5,77.5,2023,1,2,0.27
30.5,75.5,2023,1,2,0.5
30.5,76.5,2023,1,2,0.48
30.5,77.5,2023,1,2,0.55
28.5,75.5,2023,1,3,0.46
28.5,76.5,2023,1,3,0.39
28.5,77.5,2023,1,3,0.33
29.5,75.5,2023,1,3,0.17
29.5,76.5,2023,1,3,0.27
29.5,77.5,2023,1,3,0.4
30.5,75.5,2023,1,3,0.27
30.5,76.5,2023,1,3,0.32
30.5,77.5,2023,1,3,0.63
28.5,75.5,2023,1,4,0.5
28.5,76.5,2023,1,4,0.42
28.5,77.5,2023,1,4,0.33
29.5,75.5,2023,1,4,0.41
29.5,76.5,2023,1,4,0.36
29.5,77.5,2023,1,4,0.42
30.5,75.5,2023,1,4,0.54
30.5,76.5,2023,1,4,0.38
30.5,77.5,2023,1,4,0.66
28.5,75.5,2023,1,5,0.49
28.5,76.5,2023,1,5,0.31
28.5,77.5,2023,1,5,0.3
29.5,75.5,2023,1,5,0.3
29.5,76.5,2023,1,5,0.31
29.5,77.5,2023,1,5,0.29
30.5,75.5,2023,1,5,0.43
30.5,76.5,2023,1,5,0.34
30.5,77.5,2023,1,5,0.59
28.5,75.5,2023,1,6,0.53
28.5,76.5,2023,1,6,0.37
28.5,77.5,2023,1,6,0.4
29.5,75.5,2023,1,6,0.4
29.5,76.5,2023,1,6,0.37
29.5,77.5,2023,1,6,0.35
30.5,75.5,2023,1,6,0.35
30.5,76.5,2023,1,6,0.36
30.5,77.5,2023,1,6,0.55
28.5,75.5,2023,1,7,0.5
28.5,76.5,2023,1,7,0.42
28.5,77.5,2023,1,7,0.5
29.5,75.5,2023,1,7,0.32
29.5,76.5,2023,1,7,0.42
29.5,77.5,2023,1,7,0.42
30.5,75.5,2023,1,7,0.44
30.5,76.5,2023,1,7,0.43
30.5,77.5,2023,1,7,0.58
28.5,75.5,2023,1,8,0.58
28.5,76.5,2023,1,8,0.45
28.5,77.5,2023,1,8,0.44
29.5,75.5,2023,1,8,0.29
29.5,76.5,2023,1,8,0.29
29.5,77.5,2023,1,8,0.27
30.5,75.5,2023,1,8,0.32
30.5,76.5,2023,1,8,0.35
30.5,77.5,2023,1,8,0.54
28.5,75.5,2023,1,9,0.47
28.5,76.5,2023,1,9,0.37
28.5,77.5,2023,1,9,0.37
29.5,75.5,2023,1,9,0.28
29.5,76.5,2023,1,9,0.25
29.5,77.5,2023,1,9,0.32
30.5,75.5,2023,1,9,0.23
30.5,76.5,2023,1,9,0.21
30.5,77.5,2023,1,9,0.43
28.5,75.5,2023,1,10,0.61
28.5,76.5,2023,1,10,0.47
28.5,77.5,2023,1,10,0.41
29.5,75.5,2023,1,10,0.36
29.5,76.5,2023,1,10,0.33
29.5,77.5,2023,1,10,0.28
30.5,75.5,2023,1,10,0.28
30.5,76.5,2023,1,10,0.29
30.5,77.5,2023,1,10,0.56
28.5,75.5,2023,1,11,0.6
28.5,76.5,2023,1,11,0.51
28.5,77.5,2023,1,11,0.42
29.5,75.5,2023,1,11,0.42
29.5,76.5,2023,1,11,0.31
29.5,77.5,2023,1,11,0.29
30.5,75.5,2023,1,11,0.3
30.5,76.5,2023,1,11,0.23
30.5,77.5,2023,1,11,0.26
28.5,75.5,2023,1,12,0.6
28.5,76.5,2023,1,12,0.54
28.5,77.5,2023,1,12,0.52
29.5,75.5,2023,1,12,0.44
29.5,76.5,2023,1,12,0.5
29.5,77.5,2023,1,12,0.51
30.5,75.5,2023,1,12,0.44
30.5,76.5,2023,1,12,0.6
30.5,77.5,2023,1,12,0.61
28.5,75.5,2023,1,13,0.29
28.5,76.5,2023,1,13,0.29
28.5,77.5,2023,1,13,0.36
29.5,75.5,2023,1,13,0.17
29.5,76.5,2023,1,13,0.37
29.5,77.5,2023,1,13,0.39
30.5,75.5,2023,1,13,0.24
30.5,76.5,2023,1,13,0.5
30.5,77.5,2023,1,13,0.42
28.5,75.5,2023,1,14,0.68
28.5,76.5,2023,1,14,0.57
28.5,77.5,2023,1,14,0.47
29.5,75.5,2023,1,14,0.6
29.5,76.5,2023,1,14,0.34
29.5,77.5,2023,1,14,0.26
