-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,CLRSKY_SFC_SW_DWN
28.5,75.5,2025,1,1,3.7054
28.5,76.5,2025,1,1,3.2642
28.5,77.5,2025,1,1,3.2662
29.5,75.5,2025,1,1,3.0641
29.5,76.5,2025,1,1,3.5138
29.5,77.5,2025,1,1,3.5131
30.5,75.5,2025,1,1,3.3874
30.5,76.5,2025,1,1,3.8983
30.5,77.5,2025,1,1,3.9518
28.5,75.5,2025,1,2,3.9024
28.5,76.5,2025,1,2,3.4531
28.5,77.5,2025,1,2,3.4517
29.5,75.5,2025,1,2,2.9587
29.5,76.5,2025,1,2,3.4584
29.5,77.5,2025,1,2,3.4464
30.5,75.5,2025,1,2,3.4687
30.5,76.5,2025,1,2,3.7716
30.5,77.5,2025,1,2,3.8191
28.5,75.5,2025,1,3,4.1323
28.5,76.5,2025,1,3,3.864
28.5,77.5,2025,1,3,3.8364
29.5,75.5,2025,1,3,3.3468
29.5,76.5,2025,1,3,3.6982
29.5,77.5,2025,1,3,3.6794
30.5,75.5,2025,1,3,3.5566
30.5,76.5,2025,1,3,3.822
30.5,77.5,2025,1,3,3.9084
28.5,75.5,2025,1,4,4.0862
28.5,76.5,2025,1,4,3.9482
28.5,77.5,2025,1,4,3.9574
29.5,75.5,2025,1,4,3.6074
29.5,76.5,2025,1,4,3.6802
29.5,77.5,2025,1,4,3.6835
30.5,75.5,2025,1,4,3.588
30.5,76.5,2025,1,4,3.8676
30.5,77.5,2025,1,4,3.9451
28.5,75.5,2025,1,5,3.6708
28.5,76.5,2025,1,5,3.5215
28.5,77.5,2025,1,5,3.5467
29.5,75.5,2025,1,5,3.204
29.5,76.5,2025,1,5,3.545
29.5,77.5,2025,1,5,3.559
30.5,75.5,2025,1,5,3.3866
30.5,76.5,2025,1,5,3.8172
30.5,77.5,2025,1,5,3.9103
28.5,75.5,2025,1,6,3.5078
28.5,76.5,2025,1,6,2.8896
28.5,77.5,2025,1,6,2.8877
29.5,75.5,2025,1,6,2.8678
29.5,76.5,2025,1,6,3.0451
29.5,77.5,2025,1,6,3.0125
30.5,75.5,2025,1,6,2.953
30.5,76.5,2025,1,6,3.4632
