-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DNI
28.5,75.5,2022,1,1,4.1297
28.5,76.5,2022,1,1,2.7463
28.5,77.5,2022,1,1,2.857
29.5,75.5,2022,1,1,2.891
29.5,76.5,2022,1,1,3.8004
29.5,77.5,2022,1,1,3.4476
30.5,75.5,2022,1,1,5.1043
30.5,76.5,2022,1,1,6.1013
30.5,77.5,2022,1,1,6.7001
28.5,75.5,2022,1,2,3.0768
28.5,76.5,2022,1,2,1.8547
28.5,77.5,2022,1,2,1.7659
29.5,75.5,2022,1,2,2.3777
29.5,76.5,2022,1,2,2.6146
29.5,77.5,2022,1,2,2.5078
30.5,75.5,2022,1,2,4.1863
30.5,76.5,2022,1,2,4.5394
30.5,77.5,2022,1,2,3.6326
28.5,75.5,2022,1,3,4.2418
28.5,76.5,2022,1,3,2.6095
28.5,77.5,2022,1,3,2.6122
29.5,75.5,2022,1,3,3.7949
29.5,76.5,2022,1,3,5.1713
29.5,77.5,2022,1,3,5.244
30.5,75.5,2022,1,3,2.9143
30.5,76.5,2022,1,3,4.4412
30.5,77.5,2022,1,3,6.0504
28.5,75.5,2022,1,4,0.925
28.5,76.5,2022,1,4,1.4945
28.5,77.5,2022,1,4,1.4729
29.5,75.5,2022,1,4,0.1238
29.5,76.5,2022,1,4,0.75
29.5,77.5,2022,1,4,0.8004
30.5,75.5,2022,1,4,0.2002
30.5,76.5,2022,1,4,0.1918
30.5,77.5,2022,1,4,0.1111
28.5,75.5,2022,1,5,0.0122
28.5,76.5,2022,1,5,0.0149
28.5,77.5,2022,1,5,0.0122
29.5,75.5,2022,1,5,0.0161
29.5,76.5,2022,1,5,0.0242
29.5,77.5,2022,1,5,0.0118
30.5,75.5,2022,1,5,0.0254
30.5,76.5,2022,1,5,0.0322
30.5,77.5,2022,1,5,0.0161
28.5,75.5,2022,1,6,0.7253
28.5,76.5,2022,1,6,0.7822
28.5,77.5,2022,1,6,0.8863
29.5,75.5,2022,1,6,0.0744
29.5,76.5,2022,1,6,0.6
29.5,77.5,2022,1,6,0.9139
30.5,75.5,2022,1,6,0.3494
30.5,76.5,2022,1,6,1.8062
30.5,77.5,2022,1,6,2.1994
28.5,75.5,2022,1,7,2.3417
28.5,76.5,2022,1,7,0.3787
28.5,77.5,2022,1,7,0.2765
29.5,75.5,2022,1,7,0.8837
29.5,76.5,2022,1,7,0.6451
29.5,77.5,2022,1,7,0.4193
30.5,75.5,2022,1,7,0.0732
30.5,76.5,2022,1,7,0.3329
30.5,77.5,2022,1,7,0.7663
28.5,75.5,2022,1,8,1.637
28.5,76.5,2022,1,8,0.2016
28.5,77.5,2022,1,8,0.0278
29.5,75.5,2022,1,8,0.5222
29.5,76.5,2022,1,8,0.1428
29.5,77.5,2022,1,8,0.1586
30.5,75.5,2022,1,8,0.2568
30.5,76.5,2022,1,8,0.7121
30.5,77.5,2022,1,8,0.1298
28.5,75.5,2022,1,9,0.9895
28.5,76.5,2022,1,9,0.2045
28.5,77.5,2022,1,9,0.2016
29.5,75.5,2022,1,9,0.5525
29.5,76.5,2022,1,9,0.2964
29.5,77.5,2022,1,9,1.0265
30.5,75.5,2022,1,9,0.7272
30.5,76.5,2022,1,9,0.2618
30.5,77.5,2022,1,9,0.8609
28.5,75.5,2022,1,10,4.5876
28.5,76.5,2022,1,10,2.3602
28.5,77.5,2022,1,10,1.9702
29.5,75.5,2022,1,10,3.133
29.5,76.5,2022,1,10,1.8497
29.5,77.5,2022,1,10,1.9853
30.5,75.5,2022,1,10,3.0871
30.5,76.5,2022,1,10,2.6254
30.5,77.5,2022,1,10,3.4128
28.5,75.5,2022,1,11,0.4514
28.5,76.5,2022,1,11,1.2223
28.5,77.5,2022,1,11,2.8742
29.5,75.5,2022,1,11,0.101
29.5,76.5,2022,1,11,0.1402
29.5,77.5,2022,1,11,0.8299
30.5,75.5,2022,1,11,1.1038
30.5,76.5,2022,1,11,1.1364
30.5,77.5,2022,1,11,2.8332
28.5,75.5,2022,1,12,1.4945
28.5,76.5,2022,1,12,1.4767
28.5,77.5,2022,1,12,1.6303
29.5,75.5,2022,1,12,0.4442
29.5,76.5,2022,1,12,0.5974
29.5,77.5,2022,1,12,1.0493
30.5,75.5,2022,1,12,2.0537
30.5,76.5,2022,1,12,2.9597
30.5,77.5,2022,1,12,4.2034
28.5,75.5,2022,1,13,1.8074
28.5,76.5,2022,1,13,0.8062
28.5,77.5,2022,1,13,0.6478
29.5,75.5,2022,1,13,0.523
29.5,76.5,2022,1,13,0.6994
29.5,77.5,2022,1,13,0.3386
30.5,75.5,2022,1,13,0.1654
30.5,76.5,2022,1,13,0.6353
30.5,77.5,2022,1,13,4.2214
28.5,75.5,2022,1,14,0.5986
28.5,76.5,2022,1,14,0.2964
28.5,77.5,2022,1,14,0.6286
29.5,75.5,2022,1,14,0.1459
29.5,76.5,2022,1,14,0.6082
29.5,77.5,2022,1,14,0.995
30.5,75.5,2022,1,14,0.4534
30.5,76.5,2022,1,14,0.8388
30.5,77.5,2022,1,14,5.0093
28.5,75.5,2022,1,15,1.5708
28.5,76.5,2022,1,15,0.0929
28.5,77.5,2022,1,15,0.0497
29.5,75.5,2022,1,15,0.623
29.5,76.5,2022,1,15,1.0894
29.5,77.5,2022,1,15,0.2714
30.5,75.5,2022,1,15,0.3478
30.5,76.5,2022,1,15,1.0493
30.5,77.5,2022,1,15,5.736
28.5,75.5,2022,1,16,3.1531
28.5,76.5,2022,1,16,1.7707
28.5,77.5,2022,1,16,1.6178
29.5,75.5,2022,1,16,0.7241
29.5,76.5,2022,1,16,0.4121
29.5,77.5,2022,1,16,0.3518
30.5,75.5,2022,1,16,0.2467
30.5,76.5,2022,1,16,0.4476
30.5,77.5,2022,1,16,2.4425
28.5,75.5,2022,1,17,2.8315
28.5,76.5,2022,1,17,0.3785
28.5,77.5,2022,1,17,0.4001
29.5,75.5,2022,1,17,0.7579
29.5,76.5,2022,1,17,0.443
29.5,77.5,2022,1,17,0.2554
30.5,75.5,2022,1,17,0.457
30.5,76.5,2022,1,17,0.341
30.5,77.5,2022,1,17,1.1285
28.5,75.5,2022,1,18,3.569
28.5,76.5,2022,1,18,1.0968
28.5,77.5,2022,1,18,2.3554
29.5,75.5,2022,1,18,0.3238
29.5,76.5,2022,1,18,1.0966
29.5,77.5,2022,1,18,1.7417
30.5,75.5,2022,1,18,0.6518
30.5,76.5,2022,1,18,0.9883
30.5,77.5,2022,1,18,5.6201
28.5,75.5,2022,1,19,1.8485
28.5,76.5,2022,1,19,0.7325
28.5,77.5,2022,1,19,0.9571
29.5,75.5,2022,1,19,0.1454
29.5,76.5,2022,1,19,0.3252
29.5,77.5,2022,1,19,0.3722
30.5,75.5,2022,1,19,0.3818
30.5,76.5,2022,1,19,1.0193
30.5,77.5,2022,1,19,1.4762
28.5,75.5,2022,1,20,2.7833
28.5,76.5,2022,1,20,0.5849
28.5,77.5,2022,1,20,0.499
29.5,75.5,2022,1,20,0.03
29.5,76.5,2022,1,20,0.173
29.5,77.5,2022,1,20,0.3247
30.5,75.5,2022,1,20,0.1642
30.5,76.5,2022,1,20,0.7781
30.5,77.5,2022,1,20,1.1714
28.5,75.5,2022,1,21,1.7921
28.5,76.5,2022,1,21,0.4951
28.5,77.5,2022,1,21,0.7536
29.5,75.5,2022,1,21,0.2126
29.5,76.5,2022,1,21,1.1078
29.5,77.5,2022,1,21,1.8026
30.5,75.5,2022,1,21,0.8659
30.5,76.5,2022,1,21,4.1983
30.5,77.5,2022,1,21,3.9802
28.5,75.5,2022,1,22,0.3773
28.5,76.5,2022,1,22,0.103
28.5,77.5,2022,1,22,0.2014
29.5,75.5,2022,1,22,0.042
29.5,76.5,2022,1,22,0.0847
29.5,77.5,2022,1,22,0.0511
30.5,75.5,2022,1,22,0.0204
30.5,76.5,2022,1,22,0.0732
30.5,77.5,2022,1,22,0.0389
28.5,75.5,2022,1,23,0.721
28.5,76.5,2022,1,23,0.1399
28.5,77.5,2022,1,23,0.1145
29.5,75.5,2022,1,23,0.0857
29.5,76.5,2022,1,23,0.2083
29.5,77.5,2022,1,23,0.0674
30.5,75.5,2022,1,23,0.1829
30.5,76.5,2022,1,23,0.1519
30.5,77.5,2022,1,23,0.0946
28.5,75.5,2022,1,24,3.6266
28.5,76.5,2022,1,24,1.4172
28.5,77.5,2022,1,24,0.7939
29.5,75.5,2022,1,24,0.3521
29.5,76.5,2022,1,24,0.2489
29.5,77.5,2022,1,24,0.1606
30.5,75.5,2022,1,24,0.3202
30.5,76.5,2022,1,24,0.3821
30.5,77.5,2022,1,24,0.3002
28.5,75.5,2022,1,25,3.029
28.5,76.5,2022,1,25,0.197
28.5,77.5,2022,1,25,0.0778
29.5,75.5,2022,1,25,0.1133
29.5,76.5,2022,1,25,0.2395
29.5,77.5,2022,1,25,0.2131
30.5,75.5,2022,1,25,0.1747
30.5,76.5,2022,1,25,0.7318
30.5,77.5,2022,1,25,2.3938
