LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,solar_generated_kwh
28.5,75.5,2021,1,1,2.7571,2419.3552499999996
28.5,76.5,2021,1,1,2.3201,2035.8877499999999
28.5,77.5,2021,1,1,1.9769,1734.72975
29.5,75.5,2021,1,1,2.2015,1931.8162499999999
29.5,76.5,2021,1,1,1.6145,1416.7237499999999
29.5,77.5,2021,1,1,1.8468,1620.567
30.5,75.5,2021,1,1,2.0141,1767.3727499999998
30.5,76.5,2021,1,1,2.1814,1914.1785
30.5,77.5,2021,1,1,3.2335,2837.3962499999993
28.0,75.625,2021,1,1,2.407041908820923,2112.1792749903593
28.0,76.25,2021,1,1,2.265637490448263,1988.0968978683507
28.0,76.875,2021,1,1,2.179785864833104,1912.7620963910485
28.0,77.5,2021,1,1,1.9815675628698304,1738.825536418276
28.5,75.625,2021,1,1,2.581614797852588,2265.366985115646
28.5,76.25,2021,1,1,2.292402871714068,2011.5835199290946
28.5,76.875,2021,1,1,2.0538377254865243,1802.2426041144251
29.0,75.625,2021,1,1,2.3060569037099805,2023.5649330055078
29.0,76.25,2021,1,1,2.163284495891107,1898.282145144446
29.0,76.875,2021,1,1,1.942986487823234,1704.970643064888
29.0,77.5,2021,1,1,1.9289849923380908,1692.6843307766744
29.5,75.625,2021,1,1,2.1740452419624705,1907.7246998220678
29.5,76.25,2021,1,1,1.8918273088549,1660.0784635201746
29.5,76.875,2021,1,1,1.8691141266189384,1640.1476461081186
30.0,75.625,2021,1,1,2.036794016100663,1787.2867491283318
30.0,76.25,2021,1,1,1.978276848560056,1735.9379346114492
30.0,76.875,2021,1,1,2.179539495399804,1912.545907213328
30.0,77.5,2021,1,1,2.341699286212408,2054.841123651388
30.5,75.625,2021,1,1,2.021119218445236,1773.5321141856941
30.5,76.25,2021,1,1,2.074838019957568,1820.670362512766
30.5,76.875,2021,1,1,2.324982151202145,2040.171837679882
28.5,75.5,2021,1,2,1.5022,1318.1805
28.5,76.5,2021,1,2,1.1695,1026.2362500000002
28.5,77.5,2021,1,2,1.165,1022.2875
29.5,75.5,2021,1,2,1.0207,895.6642499999999
29.5,76.5,2021,1,2,1.1069,971.30475
29.5,77.5,2021,1,2,1.1328,994.032
30.5,75.5,2021,1,2,1.2734,1117.4085
30.5,76.5,2021,1,2,0.8333,731.22075
