-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M
28.0,75.625,2021,1,1,12.53
28.0,76.25,2021,1,1,12.55
28.0,76.875,2021,1,1,13.01
28.0,77.5,2021,1,1,13.44
28.5,75.625,2021,1,1,12.48
28.5,76.25,2021,1,1,12.68
28.5,76.875,2021,1,1,13.08
28.5,77.5,2021,1,1,13.36
29.0,75.625,2021,1,1,11.91
29.0,76.25,2021,1,1,12.06
29.0,76.875,2021,1,1,12.42
29.0,77.5,2021,1,1,12.76
29.5,75.625,2021,1,1,11.39
29.5,76.25,2021,1,1,11.55
29.5,76.875,2021,1,1,11.72
29.5,77.5,2021,1,1,12.52
30.0,75.625,2021,1,1,11.33
30.0,76.25,2021,1,1,11.42
30.0,76.875,2021,1,1,11.58
30.0,77.5,2021,1,1,12.49
30.5,75.625,2021,1,1,11.5
30.5,76.25,2021,1,1,11.85
30.5,76.875,2021,1,1,12.82
30.5,77.5,2021,1,1,13.0
28.0,75.625,2021,1,2,15.39
28.0,76.25,2021,1,2,14.51
28.0,76.875,2021,1,2,13.57
28.0,77.5,2021,1,2,13.32
28.5,75.625,2021,1,2,14.47
28.5,76.25,2021,1,2,14.01
28.5,76.875,2021,1,2,13.38
28.5,77.5,2021,1,2,13.5
29.0,75.625,2021,1,2,12.62
29.0,76.25,2021,1,2,12.48
29.0,76.875,2021,1,2,12.37
29.0,77.5,2021,1,2,12.91
29.5,75.625,2021,1,2,10.54
29.5,76.25,2021,1,2,10.81
29.5,76.875,2021,1,2,11.33
29.5,77.5,2021,1,2,13.05
30.0,75.625,2021,1,2,9.55
30.0,76.25,2021,1,2,10.35
30.0,76.875,2021,1,2,11.42
30.0,77.5,2021,1,2,13.76
30.5,75.625,2021,1,2,9.46
30.5,76.25,2021,1,2,11.19
30.5,76.875,2021,1,2,12.72
30.5,77.5,2021,1,2,13.29
28.0,75.625,2021,1,3,16.5
28.0,76.25,2021,1,3,15.4
28.0,76.875,2021,1,3,14.83
28.0,77.5,2021,1,3,15.52
28.5,75.625,2021,1,3,15.98
28.5,76.25,2021,1,3,15.15
28.5,76.875,2021,1,3,14.97
28.5,77.5,2021,1,3,15.79
29.0,75.625,2021,1,3,14.83
29.0,76.25,2021,1,3,14.59
29.0,76.875,2021,1,3,14.99
29.0,77.5,2021,1,3,15.65
29.5,75.625,2021,1,3,13.93
29.5,76.25,2021,1,3,14.2
29.5,76.875,2021,1,3,14.7
29.5,77.5,2021,1,3,15.09
30.0,75.625,2021,1,3,13.25
30.0,76.25,2021,1,3,13.62
30.0,76.875,2021,1,3,14.37
30.0,77.5,2021,1,3,15.21
30.5,75.625,2021,1,3,12.48
30.5,76.25,2021,1,3,13.25
30.5,76.875,2021,1,3,14.5
30.5,77.5,2021,1,3,14.03
28.0,75.625,2021,1,4,16.21
28.0,76.25,2021,1,4,15.76
28.0,76.875,2021,1,4,15.97
28.0,77.5,2021,1,4,16.91
28.5,75.625,2021,1,4,16.54
28.5,76.25,2021,1,4,16.02
28.5,76.875,2021,1,4,16.53
28.5,77.5,2021,1,4,17.43
29.0,75.625,2021,1,4,16.61
29.0,76.25,2021,1,4,16.15
29.0,76.875,2021,1,4,16.9
29.0,77.5,2021,1,4,17.88
29.5,75.625,2021,1,4,16.24
29.5,76.25,2021,1,4,16.21
29.5,76.875,2021,1,4,16.99
29.5,77.5,2021,1,4,17.81
30.0,75.625,2021,1,4,15.75
30.0,76.25,2021,1,4,16.21
30.0,76.875,2021,1,4,16.9
30.0,77.5,2021,1,4,17.62
30.5,75.625,2021,1,4,15.37
30.5,76.25,2021,1,4,16.34
30.5,76.875,2021,1,4,16.62
30.5,77.5,2021,1,4,15.51
28.0,75.625,2021,1,5,15.86
28.0,76.25,2021,1,5,16.19
28.0,76.875,2021,1,5,16.58
28.0,77.5,2021,1,5,17.13
28.5,75.625,2021,1,5,15.64
28.5,76.25,2021,1,5,16.13
28.5,76.875,2021,1,5,16.9
28.5,77.5,2021,1,5,17.53
29.0,75.625,2021,1,5,15.7
29.0,76.25,2021,1,5,16.19
29.0,76.875,2021,1,5,16.92
29.0,77.5,2021,1,5,17.69
29.5,75.625,2021,1,5,15.63
29.5,76.25,2021,1,5,16.04
29.5,76.875,2021,1,5,16.66
29.5,77.5,2021,1,5,17.37
30.0,75.625,2021,1,5,15.37
30.0,76.25,2021,1,5,15.74
30.0,76.875,2021,1,5,16.14
30.0,77.5,2021,1,5,16.52
30.5,75.625,2021,1,5,14.84
30.5,76.25,2021,1,5,15.45
30.5,76.875,2021,1,5,15.32
30.5,77.5,2021,1,5,12.92
28.0,75.625,2021,1,6,14.3
28.0,76.25,2021,1,6,15.21
28.0,76.875,2021,1,6,16.18
28.0,77.5,2021,1,6,16.25
28.5,75.625,2021,1,6,15.08
28.5,76.25,2021,1,6,15.95
28.5,76.875,2021,1,6,16.35
28.5,77.5,2021,1,6,16.49
29.0,75.625,2021,1,6,15.46
29.0,76.25,2021,1,6,15.9
29.0,76.875,2021,1,6,16.43
29.0,77.5,2021,1,6,16.54
29.5,75.625,2021,1,6,15.38
29.5,76.25,2021,1,6,15.64
29.5,76.875,2021,1,6,16.3
29.5,77.5,2021,1,6,16.58
30.0,75.625,2021,1,6,15.22
30.0,76.25,2021,1,6,15.82
30.0,76.875,2021,1,6,16.19
30.0,77.5,2021,1,6,16.29
30.5,75.625,2021,1,6,14.92
30.5,76.25,2021,1,6,16.02
30.5,76.875,2021,1,6,15.62
30.5,77.5,2021,1,6,13.1
28.0,75.625,2021,1,7,12.28
28.0,76.25,2021,1,7,12.88
28.0,76.875,2021,1,7,13.61
28.0,77.5,2021,1,7,14.41
28.5,75.625,2021,1,7,12.8
28.5,76.25,2021,1,7,13.25
28.5,76.875,2021,1,7,13.58
28.5,77.5,2021,1,7,14.49
29.0,75.625,2021,1,7,13.01
29.0,76.25,2021,1,7,13.33
29.0,76.875,2021,1,7,13.91
29.0,77.5,2021,1,7,14.88
29.5,75.625,2021,1,7,12.96
29.5,76.25,2021,1,7,13.65
29.5,76.875,2021,1,7,14.47
29.5,77.5,2021,1,7,15.23
30.0,75.625,2021,1,7,13.01
30.0,76.25,2021,1,7,13.85
30.0,76.875,2021,1,7,14.65
30.0,77.5,2021,1,7,15.41
30.5,75.625,2021,1,7,12.85
30.5,76.25,2021,1,7,14.05
30.5,76.875,2021,1,7,14.72
30.5,77.5,2021,1,7,13.95
28.0,75.625,2021,1,8,13.79
28.0,76.25,2021,1,8,13.8
28.0,76.875,2021,1,8,14.0
28.0,77.5,2021,1,8,14.91
28.5,75.625,2021,1,8,13.42
28.5,76.25,2021,1,8,13.82
28.5,76.875,2021,1,8,14.29
28.5,77.5,2021,1,8,15.48
29.0,75.625,2021,1,8,12.94
29.0,76.25,2021,1,8,13.43
29.0,76.875,2021,1,8,14.24
29.0,77.5,2021,1,8,15.63
29.5,75.625,2021,1,8,12.69
29.5,76.25,2021,1,8,13.31
29.5,76.875,2021,1,8,14.59
29.5,77.5,2021,1,8,15.53
30.0,75.625,2021,1,8,12.73
30.0,76.25,2021,1,8,13.57
30.0,76.875,2021,1,8,14.69
30.0,77.5,2021,1,8,15.57
30.5,75.625,2021,1,8,12.69
30.5,76.25,2021,1,8,13.68
30.5,76.875,2021,1,8,14.71
30.5,77.5,2021,1,8,13.68
28.0,75.625,2021,1,9,12.89
28.0,76.25,2021,1,9,13.23
28.0,76.875,2021,1,9,14.29
28.0,77.5,2021,1,9,16.16
28.5,75.625,2021,1,9,12.72
28.5,76.25,2021,1,9,13.28
28.5,76.875,2021,1,9,14.26
