-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS10M
28.0,75.625,2024,1,1,2.11
28.0,76.25,2024,1,1,2.03
28.0,76.875,2024,1,1,2.15
28.0,77.5,2024,1,1,2.01
28.5,75.625,2024,1,1,2.03
28.5,76.25,2024,1,1,2.15
28.5,76.875,2024,1,1,2.31
28.5,77.5,2024,1,1,2.34
29.0,75.625,2024,1,1,2.08
29.0,76.25,2024,1,1,2.41
29.0,76.875,2024,1,1,2.55
29.0,77.5,2024,1,1,2.35
29.5,75.625,2024,1,1,2.2
29.5,76.25,2024,1,1,2.64
29.5,76.875,2024,1,1,2.73
29.5,77.5,2024,1,1,2.17
30.0,75.625,2024,1,1,2.27
30.0,76.25,2024,1,1,2.96
30.0,76.875,2024,1,1,2.63
30.0,77.5,2024,1,1,1.69
30.5,75.625,2024,1,1,2.4
30.5,76.25,2024,1,1,3.04
30.5,76.875,2024,1,1,2.17
30.5,77.5,2024,1,1,1.78
28.0,75.625,2024,1,2,1.89
28.0,76.25,2024,1,2,1.53
28.0,76.875,2024,1,2,1.74
28.0,77.5,2024,1,2,1.79
28.5,75.625,2024,1,2,1.93
28.5,76.25,2024,1,2,1.94
28.5,76.875,2024,1,2,2.1
28.5,77.5,2024,1,2,2.25
29.0,75.625,2024,1,2,1.97
29.0,76.25,2024,1,2,2.2
29.0,76.875,2024,1,2,2.39
29.0,77.5,2024,1,2,2.41
29.5,75.625,2024,1,2,2.22
29.5,76.25,2024,1,2,2.54
29.5,76.875,2024,1,2,2.45
29.5,77.5,2024,1,2,2.14
30.0,75.625,2024,1,2,2.36
30.0,76.25,2024,1,2,2.81
30.0,76.875,2024,1,2,2.21
30.0,77.5,2024,1,2,1.67
30.5,75.625,2024,1,2,2.44
30.5,76.25,2024,1,2,2.74
30.5,76.875,2024,1,2,1.89
30.5,77.5,2024,1,2,1.77
28.0,75.625,2024,1,3,2.41
28.0,76.25,2024,1,3,2.06
28.0,76.875,2024,1,3,1.91
28.0,77.5,2024,1,3,1.74
28.5,75.625,2024,1,3,2.37
28.5,76.25,2024,1,3,2.1
28.5,76.875,2024,1,3,2.01
28.5,77.5,2024,1,3,1.79
29.0,75.625,2024,1,3,2.31
29.0,76.25,2024,1,3,2.18
29.0,76.875,2024,1,3,2.04
29.0,77.5,2024,1,3,1.76
29.5,75.625,2024,1,3,2.38
29.5,76.25,2024,1,3,2.17
29.5,76.875,2024,1,3,2.0
29.5,77.5,2024,1,3,1.65
30.0,75.625,2024,1,3,2.38
30.0,76.25,2024,1,3,1.96
30.0,76.875,2024,1,3,1.7
30.0,77.5,2024,1,3,1.85
30.5,75.625,2024,1,3,2.36
30.5,76.25,2024,1,3,1.63
30.5,76.875,2024,1,3,2.05
30.5,77.5,2024,1,3,2.18
28.0,75.625,2024,1,4,1.99
28.0,76.25,2024,1,4,2.15
28.0,76.875,2024,1,4,2.35
28.0,77.5,2024,1,4,2.2
28.5,75.625,2024,1,4,1.77
28.5,76.25,2024,1,4,1.87
28.5,76.875,2024,1,4,1.96
28.5,77.5,2024,1,4,1.87
29.0,75.625,2024,1,4,1.68
29.0,76.25,2024,1,4,1.79
29.0,76.875,2024,1,4,1.76
29.0,77.5,2024,1,4,1.68
29.5,75.625,2024,1,4,1.72
29.5,76.25,2024,1,4,1.76
29.5,76.875,2024,1,4,1.65
29.5,77.5,2024,1,4,1.51
30.0,75.625,2024,1,4,1.67
30.0,76.25,2024,1,4,1.69
30.0,76.875,2024,1,4,1.45
30.0,77.5,2024,1,4,1.63
30.5,75.625,2024,1,4,1.62
30.5,76.25,2024,1,4,1.53
30.5,76.875,2024,1,4,1.63
30.5,77.5,2024,1,4,1.81
28.0,75.625,2024,1,5,1.74
28.0,76.25,2024,1,5,1.81
28.0,76.875,2024,1,5,1.73
28.0,77.5,2024,1,5,1.74
28.5,75.625,2024,1,5,1.76
28.5,76.25,2024,1,5,1.67
28.5,76.875,2024,1,5,1.5
28.5,77.5,2024,1,5,1.57
29.0,75.625,2024,1,5,1.79
29.0,76.25,2024,1,5,1.69
29.0,76.875,2024,1,5,1.47
29.0,77.5,2024,1,5,1.61
29.5,75.625,2024,1,5,1.87
29.5,76.25,2024,1,5,1.76
29.5,76.875,2024,1,5,1.72
29.5,77.5,2024,1,5,1.73
30.0,75.625,2024,1,5,1.86
30.0,76.25,2024,1,5,1.78
30.0,76.875,2024,1,5,1.69
30.0,77.5,2024,1,5,1.67
30.5,75.625,2024,1,5,1.87
30.5,76.25,2024,1,5,1.73
30.5,76.875,2024,1,5,1.85
30.5,77.5,2024,1,5,1.86
28.0,75.625,2024,1,6,2.43
28.0,76.25,2024,1,6,2.24
28.0,76.875,2024,1,6,1.67
28.0,77.5,2024,1,6,1.26
28.5,75.625,2024,1,6,2.37
28.5,76.25,2024,1,6,2.14
28.5,76.875,2024,1,6,1.58
28.5,77.5,2024,1,6,1.32
29.0,75.625,2024,1,6,2.37
29.0,76.25,2024,1,6,2.31
29.0,76.875,2024,1,6,1.85
29.0,77.5,2024,1,6,1.35
29.5,75.625,2024,1,6,2.37
29.5,76.25,2024,1,6,2.39
29.5,76.875,2024,1,6,1.92
29.5,77.5,2024,1,6,1.4
30.0,75.625,2024,1,6,2.33
30.0,76.25,2024,1,6,2.46
30.0,76.875,2024,1,6,1.59
30.0,77.5,2024,1,6,1.43
30.5,75.625,2024,1,6,2.29
30.5,76.25,2024,1,6,2.5
30.5,76.875,2024,1,6,1.92
30.5,77.5,2024,1,6,1.97
28.0,75.625,2024,1,7,1.99
28.0,76.25,2024,1,7,1.53
28.0,76.875,2024,1,7,1.24
28.0,77.5,2024,1,7,1.15
28.5,75.625,2024,1,7,1.8
28.5,76.25,2024,1,7,1.47
28.5,76.875,2024,1,7,1.5
28.5,77.5,2024,1,7,1.6
29.0,75.625,2024,1,7,1.87
29.0,76.25,2024,1,7,1.73
29.0,76.875,2024,1,7,1.8
29.0,77.5,2024,1,7,1.88
29.5,75.625,2024,1,7,2.17
29.5,76.25,2024,1,7,2.08
29.5,76.875,2024,1,7,1.78
29.5,77.5,2024,1,7,1.51
30.0,75.625,2024,1,7,2.22
30.0,76.25,2024,1,7,2.13
30.0,76.875,2024,1,7,1.75
30.0,77.5,2024,1,7,1.66
30.5,75.625,2024,1,7,2.26
30.5,76.25,2024,1,7,2.11
30.5,76.875,2024,1,7,1.98
30.5,77.5,2024,1,7,1.9
28.0,75.625,2024,1,8,1.97
28.0,76.25,2024,1,8,1.64
28.0,76.875,2024,1,8,1.34
28.0,77.5,2024,1,8,0.98
28.5,75.625,2024,1,8,1.93
28.5,76.25,2024,1,8,1.46
28.5,76.875,2024,1,8,1.28
28.5,77.5,2024,1,8,1.44
29.0,75.625,2024,1,8,1.92
29.0,76.25,2024,1,8,1.75
29.0,76.875,2024,1,8,1.59
29.0,77.5,2024,1,8,1.64
29.5,75.625,2024,1,8,1.81
29.5,76.25,2024,1,8,1.83
29.5,76.875,2024,1,8,1.88
29.5,77.5,2024,1,8,1.67
30.0,75.625,2024,1,8,1.86
30.0,76.25,2024,1,8,2.05
30.0,76.875,2024,1,8,1.86
30.0,77.5,2024,1,8,1.81
30.5,75.625,2024,1,8,1.87
30.5,76.25,2024,1,8,1.96
30.5,76.875,2024,1,8,1.99
30.5,77.5,2024,1,8,1.95
28.0,75.625,2024,1,9,2.4
28.0,76.25,2024,1,9,1.92
28.0,76.875,2024,1,9,1.49
28.0,77.5,2024,1,9,1.79
28.5,75.625,2024,1,9,2.58
28.5,76.25,2024,1,9,2.21
28.5,76.875,2024,1,9,1.9
28.5,77.5,2024,1,9,1.8
29.0,75.625,2024,1,9,2.62
29.0,76.25,2024,1,9,2.57
29.0,76.875,2024,1,9,2.44
29.0,77.5,2024,1,9,2.27
29.5,75.625,2024,1,9,2.75
29.5,76.25,2024,1,9,2.82
29.5,76.875,2024,1,9,2.91
29.5,77.5,2024,1,9,2.8
30.0,75.625,2024,1,9,2.75
30.0,76.25,2024,1,9,2.95
30.0,76.875,2024,1,9,2.94
30.0,77.5,2024,1,9,2.51
30.5,75.625,2024,1,9,2.68
30.5,76.25,2024,1,9,2.63
30.5,76.875,2024,1,9,2.22
30.5,77.5,2024,1,9,2.06
28.0,75.625,2024,1,10,3.01
28.0,76.25,2024,1,10,3.29
28.0,76.875,2024,1,10,3.6
28.0,77.5,2024,1,10,3.51
28.5,75.625,2024,1,10,3.03
28.5,76.25,2024,1,10,3.33
28.5,76.875,2024,1,10,3.68
28.5,77.5,2024,1,10,3.84
29.0,75.625,2024,1,10,3.18
29.0,76.25,2024,1,10,3.61
29.0,76.875,2024,1,10,4.08
29.0,77.5,2024,1,10,3.95
29.5,75.625,2024,1,10,3.42
29.5,76.25,2024,1,10,4.04
29.5,76.875,2024,1,10,4.54
29.5,77.5,2024,1,10,4.0
30.0,75.625,2024,1,10,3.6
30.0,76.25,2024,1,10,4.49
30.0,76.875,2024,1,10,4.43
30.0,77.5,2024,1,10,2.58
30.5,75.625,2024,1,10,3.57
30.5,76.25,2024,1,10,4.36
30.5,76.875,2024,1,10,3.77
30.5,77.5,2024,1,10,2.83
28.0,75.625,2024,1,11,2.06
28.0,76.25,2024,1,11,2.64
28.0,76.875,2024,1,11,2.91
28.0,77.5,2024,1,11,2.87
28.5,75.625,2024,1,11,2.28
28.5,76.25,2024,1,11,2.8
28.5,76.875,2024,1,11,3.1
28.5,77.5,2024,1,11,3.3
29.0,75.625,2024,1,11,2.49
29.0,76.25,2024,1,11,2.99
29.0,76.875,2024,1,11,3.31
29.0,77.5,2024,1,11,3.36
29.5,75.625,2024,1,11,2.66
29.5,76.25,2024,1,11,3.18
29.5,76.875,2024,1,11,3.5
29.5,77.5,2024,1,11,3.28
30.0,75.625,2024,1,11,2.75
30.0,76.25,2024,1,11,3.37
30.0,76.875,2024,1,11,3.18
30.0,77.5,2024,1,11,1.75
30.5,75.625,2024,1,11,2.67
30.5,76.25,2024,1,11,3.24
30.5,76.875,2024,1,11,2.78
30.5,77.5,2024,1,11,2.14
28.0,75.625,2024,1,12,1.69
28.0,76.25,2024,1,12,2.23
28.0,76.875,2024,1,12,2.7
28.0,77.5,2024,1,12,2.73
28.5,75.625,2024,1,12,1.8
28.5,76.25,2024,1,12,2.46
28.5,76.875,2024,1,12,2.99
28.5,77.5,2024,1,12,3.25
29.0,75.625,2024,1,12,2.1
29.0,76.25,2024,1,12,2.78
29.0,76.875,2024,1,12,3.28
29.0,77.5,2024,1,12,3.35
29.5,75.625,2024,1,12,2.41
29.5,76.25,2024,1,12,3.07
29.5,76.875,2024,1,12,3.57
29.5,77.5,2024,1,12,3.36
30.0,75.625,2024,1,12,2.62
30.0,76.25,2024,1,12,3.43
30.0,76.875,2024,1,12,3.43
30.0,77.5,2024,1,12,2.05
30.5,75.625,2024,1,12,2.65
30.5,76.25,2024,1,12,3.48
30.5,76.875,2024,1,12,3.21
30.5,77.5,2024,1,12,1.91
28.0,75.625,2024,1,13,2.04
28.0,76.25,2024,1,13,1.36
28.0,76.875,2024,1,13,1.48
28.0,77.5,2024,1,13,1.82
28.5,75.625,2024,1,13,1.92
28.5,76.25,2024,1,13,1.61
28.5,76.875,2024,1,13,2.09
28.5,77.5,2024,1,13,2.48
29.0,75.625,2024,1,13,1.83
29.0,76.25,2024,1,13,2.07
29.0,76.875,2024,1,13,2.6
29.0,77.5,2024,1,13,2.74
29.5,75.625,2024,1,13,1.89
29.5,76.25,2024,1,13,2.51
29.5,76.875,2024,1,13,2.84
29.5,77.5,2024,1,13,2.44
30.0,75.625,2024,1,13,2.01
30.0,76.25,2024,1,13,2.78
30.0,76.875,2024,1,13,2.52
30.0,77.5,2024,1,13,1.38
30.5,75.625,2024,1,13,2.13
30.5,76.25,2024,1,13,2.8
30.5,76.875,2024,1,13,2.39
30.5,77.5,2024,1,13,1.54
28.0,75.625,2024,1,14,2.38
28.0,76.25,2024,1,14,2.11
28.0,76.875,2024,1,14,2.28
28.0,77.5,2024,1,14,2.35
28.5,75.625,2024,1,14,2.14
28.5,76.25,2024,1,14,2.38
28.5,76.875,2024,1,14,2.79
28.5,77.5,2024,1,14,2.94
29.0,75.625,2024,1,14,2.24
29.0,76.25,2024,1,14,2.81
29.0,76.875,2024,1,14,3.14
29.0,77.5,2024,1,14,2.98
29.5,75.625,2024,1,14,2.59
29.5,76.25,2024,1,14,3.2
29.5,76.875,2024,1,14,3.31
29.5,77.5,2024,1,14,2.46
30.0,75.625,2024,1,14,2.78
30.0,76.25,2024,1,14,3.5
30.0,76.875,2024,1,14,2.82
30.0,77.5,2024,1,14,1.6
30.5,75.625,2024,1,14,2.77
30.5,76.25,2024,1,14,3.45
30.5,76.875,2024,1,14,2.44
30.5,77.5,2024,1,14,1.74
28.0,75.625,2024,1,15,2.04
28.0,76.25,2024,1,15,2.44
28.0,76.875,2024,1,15,2.55
28.0,77.5,2024,1,15,2.21
28.5,75.625,2024,1,15,1.95
28.5,76.25,2024,1,15,2.41
