-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WD10M
28.0,75.625,2024,1,1,24.0
28.0,76.25,2024,1,1,357.8
28.0,76.875,2024,1,1,339.6
28.0,77.5,2024,1,1,321.2
28.5,75.625,2024,1,1,10.1
28.5,76.25,2024,1,1,350.6
28.5,76.875,2024,1,1,336.9
28.5,77.5,2024,1,1,316.4
29.0,75.625,2024,1,1,357.3
29.0,76.25,2024,1,1,344.4
29.0,76.875,2024,1,1,331.0
29.0,77.5,2024,1,1,314.3
29.5,75.625,2024,1,1,348.2
29.5,76.25,2024,1,1,333.8
29.5,76.875,2024,1,1,319.7
29.5,77.5,2024,1,1,310.6
30.0,75.625,2024,1,1,340.4
30.0,76.25,2024,1,1,325.9
30.0,76.875,2024,1,1,309.2
30.0,77.5,2024,1,1,279.2
30.5,75.625,2024,1,1,332.5
30.5,76.25,2024,1,1,326.9
30.5,76.875,2024,1,1,325.2
30.5,77.5,2024,1,1,262.5
28.0,75.625,2024,1,2,49.6
28.0,76.25,2024,1,2,34.1
28.0,76.875,2024,1,2,12.3
28.0,77.5,2024,1,2,347.2
28.5,75.625,2024,1,2,30.9
28.5,76.25,2024,1,2,6.7
28.5,76.875,2024,1,2,347.2
28.5,77.5,2024,1,2,325.9
29.0,75.625,2024,1,2,18.8
29.0,76.25,2024,1,2,353.7
29.0,76.875,2024,1,2,332.1
29.0,77.5,2024,1,2,314.5
29.5,75.625,2024,1,2,3.4
29.5,76.25,2024,1,2,342.8
29.5,76.875,2024,1,2,323.2
29.5,77.5,2024,1,2,309.2
30.0,75.625,2024,1,2,349.4
30.0,76.25,2024,1,2,334.4
30.0,76.875,2024,1,2,315.7
30.0,77.5,2024,1,2,293.8
30.5,75.625,2024,1,2,339.0
30.5,76.25,2024,1,2,332.5
30.5,76.875,2024,1,2,348.1
30.5,77.5,2024,1,2,131.8
28.0,75.625,2024,1,3,36.4
28.0,76.25,2024,1,3,21.3
28.0,76.875,2024,1,3,9.7
28.0,77.5,2024,1,3,5.9
28.5,75.625,2024,1,3,25.9
28.5,76.25,2024,1,3,10.7
28.5,76.875,2024,1,3,7.3
28.5,77.5,2024,1,3,3.0
29.0,75.625,2024,1,3,18.2
29.0,76.25,2024,1,3,6.0
29.0,76.875,2024,1,3,8.4
29.0,77.5,2024,1,3,13.9
29.5,75.625,2024,1,3,11.6
29.5,76.25,2024,1,3,0.3
29.5,76.875,2024,1,3,11.3
29.5,77.5,2024,1,3,28.3
30.0,75.625,2024,1,3,6.4
30.0,76.25,2024,1,3,350.8
30.0,76.875,2024,1,3,25.8
30.0,77.5,2024,1,3,88.4
30.5,75.625,2024,1,3,3.6
30.5,76.25,2024,1,3,350.2
30.5,76.875,2024,1,3,102.9
30.5,77.5,2024,1,3,89.7
28.0,75.625,2024,1,4,8.2
28.0,76.25,2024,1,4,347.0
28.0,76.875,2024,1,4,339.2
28.0,77.5,2024,1,4,337.7
28.5,75.625,2024,1,4,355.2
28.5,76.25,2024,1,4,340.7
28.5,76.875,2024,1,4,343.5
28.5,77.5,2024,1,4,342.6
29.0,75.625,2024,1,4,356.3
29.0,76.25,2024,1,4,346.4
29.0,76.875,2024,1,4,348.4
29.0,77.5,2024,1,4,349.2
29.5,75.625,2024,1,4,356.1
29.5,76.25,2024,1,4,344.4
29.5,76.875,2024,1,4,351.7
29.5,77.5,2024,1,4,353.1
30.0,75.625,2024,1,4,350.5
30.0,76.25,2024,1,4,336.2
30.0,76.875,2024,1,4,343.9
30.0,77.5,2024,1,4,92.1
30.5,75.625,2024,1,4,344.5
30.5,76.25,2024,1,4,327.1
30.5,76.875,2024,1,4,100.5
30.5,77.5,2024,1,4,77.1
28.0,75.625,2024,1,5,6.4
28.0,76.25,2024,1,5,345.6
28.0,76.875,2024,1,5,337.8
28.0,77.5,2024,1,5,327.7
28.5,75.625,2024,1,5,347.2
28.5,76.25,2024,1,5,340.2
28.5,76.875,2024,1,5,345.5
28.5,77.5,2024,1,5,330.0
29.0,75.625,2024,1,5,349.1
29.0,76.25,2024,1,5,350.9
29.0,76.875,2024,1,5,1.3
29.0,77.5,2024,1,5,354.5
29.5,75.625,2024,1,5,356.0
29.5,76.25,2024,1,5,356.3
29.5,76.875,2024,1,5,14.9
29.5,77.5,2024,1,5,38.9
30.0,75.625,2024,1,5,356.3
30.0,76.25,2024,1,5,349.5
30.0,76.875,2024,1,5,7.8
30.0,77.5,2024,1,5,123.1
30.5,75.625,2024,1,5,354.6
30.5,76.25,2024,1,5,339.6
30.5,76.875,2024,1,5,85.2
30.5,77.5,2024,1,5,114.0
28.0,75.625,2024,1,6,12.0
28.0,76.25,2024,1,6,353.6
28.0,76.875,2024,1,6,341.7
28.0,77.5,2024,1,6,316.4
28.5,75.625,2024,1,6,9.4
28.5,76.25,2024,1,6,359.1
28.5,76.875,2024,1,6,356.9
28.5,77.5,2024,1,6,312.4
29.0,75.625,2024,1,6,11.2
29.0,76.25,2024,1,6,6.0
29.0,76.875,2024,1,6,6.6
29.0,77.5,2024,1,6,348.7
29.5,75.625,2024,1,6,8.1
29.5,76.25,2024,1,6,359.5
29.5,76.875,2024,1,6,0.6
29.5,77.5,2024,1,6,355.0
30.0,75.625,2024,1,6,1.2
30.0,76.25,2024,1,6,347.7
30.0,76.875,2024,1,6,338.9
30.0,77.5,2024,1,6,290.8
30.5,75.625,2024,1,6,353.5
30.5,76.25,2024,1,6,342.4
30.5,76.875,2024,1,6,349.2
30.5,77.5,2024,1,6,15.2
28.0,75.625,2024,1,7,52.1
28.0,76.25,2024,1,7,17.9
28.0,76.875,2024,1,7,343.9
28.0,77.5,2024,1,7,296.9
28.5,75.625,2024,1,7,42.8
28.5,76.25,2024,1,7,17.4
28.5,76.875,2024,1,7,357.6
28.5,77.5,2024,1,7,286.8
29.0,75.625,2024,1,7,28.3
29.0,76.25,2024,1,7,9.7
29.0,76.875,2024,1,7,353.2
29.0,77.5,2024,1,7,273.0
29.5,75.625,2024,1,7,14.3
29.5,76.25,2024,1,7,356.5
29.5,76.875,2024,1,7,343.7
29.5,77.5,2024,1,7,311.9
30.0,75.625,2024,1,7,2.1
30.0,76.25,2024,1,7,345.3
30.0,76.875,2024,1,7,339.1
30.0,77.5,2024,1,7,170.1
30.5,75.625,2024,1,7,352.9
30.5,76.25,2024,1,7,343.1
30.5,76.875,2024,1,7,17.5
30.5,77.5,2024,1,7,24.9
28.0,75.625,2024,1,8,100.5
28.0,76.25,2024,1,8,108.8
28.0,76.875,2024,1,8,150.1
28.0,77.5,2024,1,8,301.1
28.5,75.625,2024,1,8,53.3
28.5,76.25,2024,1,8,29.3
28.5,76.875,2024,1,8,334.8
28.5,77.5,2024,1,8,304.0
29.0,75.625,2024,1,8,33.0
29.0,76.25,2024,1,8,5.8
29.0,76.875,2024,1,8,332.0
29.0,77.5,2024,1,8,291.5
29.5,75.625,2024,1,8,17.5
29.5,76.25,2024,1,8,348.1
29.5,76.875,2024,1,8,319.7
29.5,77.5,2024,1,8,292.3
30.0,75.625,2024,1,8,0.7
30.0,76.25,2024,1,8,327.7
30.0,76.875,2024,1,8,293.5
30.0,77.5,2024,1,8,196.4
