LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WD10M,WS10M
28.5,75.5,2021,1,1,2.7571,93.75775665326906,2.3162572464770554
28.5,76.5,2021,1,1,2.3201,77.16040009150262,1.840801463196611
28.5,77.5,2021,1,1,1.9769,322.2,1.53
29.5,75.5,2021,1,1,2.2015,57.929960741042585,1.828622015800434
29.5,76.5,2021,1,1,1.6145,169.95273744940144,1.63390458161854
29.5,77.5,2021,1,1,1.8468,320.2,1.68
30.5,75.5,2021,1,1,2.0141,284.754600881909,1.3433617192536556
30.5,76.5,2021,1,1,2.1814,259.93539595267083,1.5757238451806503
30.5,77.5,2021,1,1,3.2335,109.7,1.83
28.0,75.625,2021,1,1,2.407041908820923,109.7,2.81
28.0,76.25,2021,1,1,2.265637490448263,107.1,2.31
28.0,76.875,2021,1,1,2.179785864833104,88.6,1.99
28.0,77.5,2021,1,1,1.9815675628698304,40.9,1.6
28.5,75.625,2021,1,1,2.581614797852588,94.3,2.32
28.5,76.25,2021,1,1,2.292402871714068,91.4,1.89
28.5,76.875,2021,1,1,2.0538377254865243,53.4,1.54
29.0,75.625,2021,1,1,2.3060569037099805,77.2,2.1
29.0,76.25,2021,1,1,2.163284495891107,50.8,1.71
29.0,76.875,2021,1,1,1.942986487823234,354.4,1.47
29.0,77.5,2021,1,1,1.9289849923380908,312.5,1.69
29.5,75.625,2021,1,1,2.1740452419624705,61.2,1.87
29.5,76.25,2021,1,1,1.8918273088548996,25.3,1.62
29.5,76.875,2021,1,1,1.8691141266189384,348.9,1.66
30.0,75.625,2021,1,1,2.036794016100663,47.6,1.53
30.0,76.25,2021,1,1,1.978276848560056,345.8,1.55
30.0,76.875,2021,1,1,2.179539495399804,335.5,1.62
30.0,77.5,2021,1,1,2.341699286212408,148.6,1.65
30.5,75.625,2021,1,1,2.021119218445236,334.5,1.25
30.5,76.25,2021,1,1,2.074838019957568,280.6,1.46
30.5,76.875,2021,1,1,2.324982151202145,126.0,1.74
28.5,75.5,2021,1,2,1.5022,112.64766627119464,4.245323754954927
28.5,76.5,2021,1,2,1.1695,113.8168130772669,3.788763347051683
28.5,77.5,2021,1,2,1.165,101.0,2.43
29.5,75.5,2021,1,2,1.0207,82.32778221482755,3.208900579718164
29.5,76.5,2021,1,2,1.1069,87.47286127125243,2.6466698216755544
29.5,77.5,2021,1,2,1.1328,70.8,2.07
30.5,75.5,2021,1,2,1.2734,72.66218213987426,2.0328440810548014
30.5,76.5,2021,1,2,0.8333,94.00920596171532,1.926994190293366
30.5,77.5,2021,1,2,0.7666,80.9,2.2
28.0,75.625,2021,1,2,1.2918709831886794,132.7,4.61
28.0,76.25,2021,1,2,1.2450099488145008,129.0,4.22
28.0,76.875,2021,1,2,1.212873685296758,121.1,3.49
28.0,77.5,2021,1,2,1.1529318972092673,108.6,2.67
28.5,75.625,2021,1,2,1.3960708181473471,112.3,4.27
28.5,76.25,2021,1,2,1.2066408428318254,115.6,4.04
28.5,76.875,2021,1,2,1.153480195336829,111.5,3.37
29.0,75.625,2021,1,2,1.219746461684092,92.0,3.92
