iter	RMSE
0	1044.336934
1	946.9089616
2	859.3414931
3	778.7701426
4	706.6487152
5	641.7328726
6	584.1467514
7	530.6445471
8	483.7030254
9	439.8712181
10	400.8180325
11	364.5140439
12	332.6655662
13	303.7078246
14	277.8034108
15	253.6158444
16	232.622328
17	213.3853557
18	196.6854147
19	181.4402982
20	166.7636331
21	153.8212154
22	142.0546986
23	131.6641443
24	122.2156568
25	114.1970383
26	106.4656886
27	99.6127624
28	93.74219152
29	88.48301136
30	83.94886194
31	79.73274795
32	75.98254883
33	72.66984119
34	69.70146408
35	67.11086965
36	64.91224049
37	62.79179062
38	60.91984518
39	59.28165293
40	57.69587072
41	56.24914349
42	55.05472283
43	53.972229
44	52.89585117
45	51.90305541
46	51.06140208
47	50.32671249
48	49.48418287
49	48.78372258
50	48.06341991
51	47.41970124
52	46.8657701
53	46.23841099
54	45.60549434
55	45.09398313
56	44.67820608
57	44.20942272
58	43.80200607
59	43.43686767
60	43.03090807
61	42.51933945
62	42.09640562
63	41.69898346
64	41.29507397
65	40.9473045
66	40.53722537
67	40.19025808
68	39.8346671
69	39.51007671
70	39.1728887
71	38.80811943
72	38.50379333
73	38.30876094
74	38.06775674
75	37.78923793
76	37.55788479
77	37.33405161
78	37.14493143
79	36.9343791
80	36.72573262
81	36.44603539
82	36.16376865
83	35.89058603
84	35.64102938
85	35.44327182
86	35.18150506
87	34.89106955
88	34.69909439
89	34.49488446
90	34.35170857
91	34.13052946
92	33.87978772
93	33.71371146
94	33.47527814
95	33.32575528
96	33.08926995
97	32.87806011
98	32.70929349
99	32.48548462
100	32.28771631
101	32.14164481
102	31.9659473
103	31.78042661
104	31.6679281
105	31.47651926
106	31.31940479
107	31.15135357
108	30.98315515
109	30.83865246
110	30.71753194
111	30.57979672
112	30.42935259
113	30.31469418
114	30.12025967
115	29.93850613
116	29.82338166
117	29.72482337
118	29.64404264
119	29.54156842
120	29.35284519
121	29.25159744
122	29.08911216
123	28.95248984
124	28.79652994
125	28.69703284
126	28.53450747
127	28.37482358
128	28.24416029
129	28.17113452
130	28.07916348
131	27.91937373
132	27.81652035
133	27.72416366
134	27.596473
135	27.42276827
136	27.2708904
137	27.20684799
138	27.09750175
139	26.94912696
140	26.84370053
141	26.70529079
142	26.60569426
143	26.5033567
144	26.40741401
145	26.31845532
146	26.20429216
147	26.10198759
148	25.98903852
149	25.81852464
150	25.72808746
151	25.58666349
152	25.46412298
153	25.36952542
154	25.284281
155	25.17961987
156	25.11915031
157	25.04892361
158	24.97279585
159	24.87891991
160	24.79833041
161	24.72172181
162	24.63760441
163	24.55338529
164	24.43589205
165	24.35650506
166	24.2714177
167	24.21129848
168	24.10925357
169	24.0283675
170	23.94551763
171	23.89342802
172	23.8367265
173	23.77627659
174	23.68873837
175	23.61022257
176	23.49259696
