iter	Passed	Remaining
0	7	7981
1	14	7392
2	22	7350
3	28	7169
4	36	7172
5	42	6979
6	48	6843
7	53	6630
8	58	6455
9	63	6248
10	67	6064
11	71	5870
12	74	5682
13	78	5499
14	81	5342
15	84	5207
16	87	5073
17	90	4953
18	94	4861
19	97	4767
20	100	4673
21	103	4596
22	106	4519
23	109	4449
24	112	4389
25	115	4326
26	118	4272
27	121	4221
28	124	4183
29	128	4144
30	131	4105
31	134	4077
32	137	4041
33	141	4021
34	144	3991
35	148	3967
36	151	3939
37	154	3921
38	157	3891
39	160	3861
40	163	3830
41	166	3800
42	169	3781
43	172	3754
44	175	3729
45	178	3709
46	181	3688
47	185	3671
48	188	3654
49	191	3637
50	194	3623
51	198	3612
52	201	3595
53	204	3583
54	207	3569
55	211	3556
56	214	3553
57	218	3544
58	221	3532
59	224	3519
60	228	3514
61	232	3513
62	235	3508
63	239	3499
64	243	3505
65	247	3497
66	250	3494
67	254	3481
68	257	3471
69	260	3461
70	263	3451
71	267	3442
72	270	3435
73	273	3427
74	277	3418
75	280	3413
76	283	3403
77	287	3395
78	290	3389
79	293	3380
80	297	3374
81	300	3366
82	304	3362
83	308	3359
84	311	3357
85	315	3353
86	320	3358
87	323	3352
88	327	3350
89	330	3340
90	334	3338
91	338	3339
92	342	3336
93	345	3328
94	349	3324
95	351	3313
96	355	3306
97	358	3299
98	361	3290
99	364	3284
100	367	3274
101	371	3269
102	375	3266
103	378	3259
104	382	3256
105	385	3252
106	389	3249
107	392	3243
108	396	3239
109	399	3231
110	403	3228
111	406	3222
112	409	3215
113	412	3209
114	416	3205
115	420	3201
116	422	3192
117	426	3188
118	429	3180
119	433	3175
120	436	3169
121	439	3162
122	443	3159
123	446	3151
124	449	3146
125	452	3138
126	455	3134
127	459	3126
128	462	3120
129	465	3111
130	468	3105
131	471	3099
132	474	3093
133	477	3087
134	480	3081
135	484	3075
136	487	3070
137	490	3063
138	493	3059
139	497	3054
140	500	3049
141	503	3043
142	506	3036
143	509	3029
144	512	3023
145	515	3016
146	518	3009
147	521	3004
148	524	2998
149	528	2992
150	531	2989
151	534	2983
152	538	2981
153	541	2976
154	544	2970
155	547	2964
156	551	2958
157	553	2950
158	556	2945
159	559	2939
160	562	2933
161	566	2927
162	569	2923
163	572	2920
164	576	2916
165	579	2912
166	583	2909
167	586	2904
168	590	2901
