,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Hour column,58991.0,,,,11.499805055008391,6.922141958410762,0.0,5.5,11.0,17.0,23.0
Is_Weekend,58991,2,False,42143,,,,,,,
Month,58991.0,,,,6.370581953179299,3.3894267053250204,1.0,3.0,6.0,9.0,12.0
Day,58991.0,,,,15.760132901629062,8.788118125194424,1.0,8.0,16.0,23.0,31.0
Hour_of_day,58991.0,,,,11.499805055008391,6.922141958410762,0.0,5.5,11.0,17.0,23.0
Weekday,58991.0,,,,2.9992202200335645,2.0000167999384315,0.0,1.0,3.0,5.0,6.0
Demand_MWh,58991.0,,,,2835.240245612744,1146.2879641913994,152.2179966,2066.848622,2789.085561,3619.38155,6271.173987
hour_sin,58991.0,,,,4.387432745701888e-06,0.7071179650073343,-1.0,-0.7071067811865475,1.2246467991473532e-16,0.7071067811865476,1.0
hour_cos,58991.0,,,,-1.637412192185832e-05,0.7071075839660378,-1.0,-0.7071067811865477,-1.8369701987210294e-16,0.7071067811865474,1.0
dow_sin,58991.0,,,,0.00030482826357857015,0.7071433823263912,-0.9749279121818236,-0.7818314824680299,0.0,0.7818314824680298,0.9749279121818236
dow_cos,58991.0,,,,0.00024309242838313903,0.7070820580675077,-0.9009688679024191,-0.900968867902419,-0.2225209339563143,0.6234898018587336,1.0
Demand_lag_1,58991.0,,,,2835.2357471239575,1146.2831523862437,152.2179966,2066.848622,2789.085561,3619.38155,6271.173987
Demand_lag_2,58991.0,,,,2835.2335372313473,1146.2800108361923,152.2179966,2066.848622,2789.085561,3619.38155,6271.173987
Demand_lag_24,58991.0,,,,2835.240401641664,1146.2999189610293,152.2179966,2066.848622,2789.085561,3619.38155,6271.173987
Demand_lag_168,58991.0,,,,2835.2413066094045,1146.3670329841843,152.2179966,2066.848622,2789.085561,3619.000241,6271.173987
Demand_roll_mean_6,58991.0,,,,2835.2426206164337,1057.1275067828183,159.41494396666667,2166.8931461666666,2881.483314833333,3561.460263166666,5814.882239
Demand_roll_mean_24,58991.0,,,,2835.2486003381423,930.8534866139242,203.2375,2354.018817333333,2982.512451916667,3526.9354838333334,4428.777777708334
Demand_roll_std_24,58991.0,,,,647.5275183068338,218.38095378703758,26.68209027578969,542.6506047180004,672.9682047364951,799.533153259607,1243.3886434744977
Demand_diff_past_1h,58991.0,,,,0.002209892610737135,342.43356647266125,-2427.769577,-111.44530599999962,25.52997800000003,204.515369,1440.481057
Demand_diff_past_24h,58991.0,,,,-0.0046545177060915615,397.26238744587573,-2049.227116,-229.7628340000001,-23.109288000000102,143.54967099999976,3426.1843376
