iter	MAE
0	167.3176979
1	160.4946288
2	154.1254444
3	148.3233973
4	142.6727651
5	137.6176383
6	132.7592994
7	128.2789128
8	123.9776507
9	119.9628334
10	115.9926765
11	112.2814257
12	108.9593295
13	105.8324843
14	102.5701239
15	99.83486633
16	97.2861001
17	94.83361637
18	92.50751853
19	90.45648961
20	88.49110965
21	86.53663858
22	84.88092952
23	83.26904626
24	81.9721424
25	80.47703228
26	78.94966536
27	77.92492516
28	76.77327717
29	75.33242975
30	74.04834168
31	73.12900307
32	72.15729531
33	71.06325047
34	70.33281488
35	69.65528874
36	68.81201004
37	68.15627882
38	67.61782126
39	66.95715505
40	66.31560513
41	65.87997342
42	65.36398541
43	64.75668448
44	64.41482865
45	63.93007053
46	63.58703238
47	63.16151966
48	62.85570503
49	62.57739762
50	62.26052784
51	62.0584299
52	61.83675695
53	61.50438513
54	61.22362425
55	60.90364842
56	60.67584603
57	60.53216742
58	60.32651664
59	60.20616089
60	59.96184813
61	59.85244381
62	59.68297261
63	59.523533
64	59.36876012
65	59.24789381
66	59.05783987
67	58.977986
68	58.88907049
69	58.77736835
70	58.71204101
71	58.57864717
72	58.5322558
73	58.49869493
74	58.4291198
75	58.39485916
76	58.31199809
77	58.27548911
78	58.20921879
79	58.18702492
80	58.14336286
81	58.10899343
82	58.08339182
83	58.03794402
84	57.97994756
85	57.93833458
86	57.86078116
87	57.82070242
88	57.79138258
89	57.7590991
90	57.68782563
91	57.65326873
92	57.64301305
93	57.5683349
94	57.50473503
95	57.49531883
96	57.43261417
97	57.40431194
98	57.37501927
99	57.34350627
100	57.33405269
101	57.32614547
102	57.29744117
103	57.26435715
104	57.23432015
105	57.20199811
106	57.17821774
107	57.17143528
108	57.14451307
109	57.14064826
110	57.13499476
111	57.09618212
112	57.08681821
113	57.05972375
114	57.05726569
115	57.0303152
116	57.02568942
117	57.02151798
118	56.99119105
119	56.9768755
120	56.97127501
121	56.96936637
122	56.96560778
123	56.94394193
124	56.94251093
125	56.90002697
126	56.85813258
127	56.8549869
128	56.85361545
129	56.82977226
130	56.82695289
131	56.82433169
132	56.81616013
133	56.81111098
134	56.76819253
135	56.76274238
136	56.75834154
137	56.75759235
138	56.75185938
139	56.74970637
140	56.73407317
141	56.73022413
142	56.72638327
143	56.69315302
144	56.67017042
145	56.65231188
146	56.64934379
147	56.64616679
148	56.63474188
149	56.63216003
150	56.62328903
151	56.6154708
152	56.61105861
153	56.60202777
154	56.59156627
155	56.58218382
156	56.57659315
157	56.57441997
158	56.57231205
159	56.56633368
160	56.56158139
161	56.53844601
162	56.53687766
163	56.51932905
164	56.51749155
165	56.49301158
166	56.4919638
167	56.47507011
168	56.47381048
169	56.47126495
170	56.46822017
171	56.46408015
172	56.46279647
173	56.46148689
174	56.44577626
175	56.44208659
176	56.44118891
177	56.43136283
178	56.42433573
179	56.41467732
180	56.40698774
181	56.40397203
182	56.3816013
183	56.3809812
184	56.3802074
185	56.36018924
186	56.35748334
187	56.35502429
188	56.3531888
189	56.35230822
190	56.35126337
191	56.35076585
192	56.34082763
193	56.33973949
194	56.33866855
195	56.33646729
196	56.3341983
197	56.33368198
198	56.32373087
199	56.3227698
200	56.32193728
201	56.32126931
202	56.31568684
203	56.31518058
204	56.31404959
205	56.31238498
206	56.30892864
207	56.30696159
208	56.30578531
209	56.3045244
210	56.29684001
211	56.2944143
212	56.28134559
213	56.27992131
214	56.27812396
215	56.27704856
216	56.27554288
217	56.27454742
218	56.27384435
219	56.27380758
220	56.27182934
221	56.27166522
222	56.26794315
223	56.25585939
224	56.25386312
225	56.24882595
226	56.24543883
227	56.24444907
228	56.24432688
229	56.24416446
230	56.23898249
231	56.23828444
232	56.2363945
233	56.23417715
234	56.22069737
235	56.21032478
236	56.20521007
237	56.19392148
