iter	Passed	Remaining
0	305	305122
1	630	314735
2	889	295762
3	1168	290925
4	1491	296710
5	1754	290579
6	2035	288754
7	2280	282754
8	2548	280569
9	2932	290326
10	3150	283216
11	3361	276774
12	3574	271385
13	3859	271839
14	4103	269469
15	4319	265664
16	4514	261071
17	4721	257599
18	4915	253800
19	5136	251675
20	5390	251307
21	5600	248978
22	5801	246425
23	5956	242236
24	6140	239484
25	6332	237243
26	6531	235366
27	6720	233311
28	6951	232763
29	7170	231853
30	7385	230847
31	7572	229064
32	7782	228059
33	8006	227473
34	8212	226419
35	8419	225466
36	8700	226454
37	8951	226613
38	9158	225681
39	9367	224827
40	9585	224196
41	9758	222584
42	9966	221802
43	10172	221024
44	10357	219812
45	10616	220181
46	10848	219979
47	11072	219613
48	11292	219166
49	11540	219269
50	11801	219608
51	12007	218900
52	12204	218069
53	12407	217368
54	12595	216406
55	12793	215662
56	13005	215168
57	13193	214274
58	13372	213287
59	13575	212686
60	13759	211809
61	13942	210934
62	14131	210183
63	14324	209494
64	14578	209702
65	14842	210037
66	15039	209431
67	15236	208828
68	15417	208017
69	15579	206983
70	15781	206496
71	15976	205914
72	16210	205849
73	16394	205148
74	16573	204402
75	16780	204013
76	16967	203385
77	17189	203184
78	17386	202694
79	17609	202511
80	17833	202334
81	18026	201803
82	18208	201166
83	18381	200448
84	18566	199860
85	18769	199484
86	19028	199685
87	19392	200971
88	19645	201085
89	19960	201826
90	20238	202160
91	20516	202486
92	20799	202851
93	21071	203094
94	21339	203285
95	21600	203406
96	21879	203683
97	22169	204054
98	22432	204161
99	22694	204248
100	22987	204614
101	23318	205290
102	23630	205794
103	23905	205953
104	24200	206277
105	24485	206506
106	24684	206014
107	24933	205931
108	25187	205886
109	25399	205505
110	25600	205037
111	25836	204849
112	26070	204644
113	26308	204469
114	26527	204148
115	26773	204029
116	26957	203449
117	27165	203047
118	27332	202351
119	27530	201888
120	27724	201404
121	27913	200883
122	28104	200390
123	28289	199853
124	28469	199287
125	28671	198877
126	28884	198549
127	29062	197989
128	29264	197590
129	29485	197326
130	29935	198578
131	30498	200549
132	31100	202736
133	31581	204103
134	31826	203927
135	32029	203480
136	32268	203270
137	32634	203849
138	33039	204656
139	33372	205002
140	33603	204718
141	33924	204980
142	34301	205567
143	34550	205382
144	34797	205185
145	35284	206388
146	35920	208435
147	36303	208991
148	36709	209662
149	36991	209616
150	37320	209832
151	37658	210092
152	37938	210024
153	38232	210027
154	38529	210047
155	38767	209741
156	39046	209659
157	39293	209402
158	39546	209173
159	39887	209408
160	40135	209150
161	40364	208801
162	40582	208390
163	40762	207791
164	40966	207317
165	41162	206803
166	41341	206210
167	41553	205786
168	41750	205291
169	41970	204914
170	42164	204412
171	42441	204310
172	42751	204369
173	43083	204523
174	43511	205126
175	43744	204803
176	44024	204703
177	44362	204865
178	44720	205114
179	44943	204741
180	45121	204166
181	45289	203552
182	45465	202979
183	45638	202397
184	45818	201846
185	46001	201319
186	46190	200815
187	46387	200352
188	46579	199872
189	46752	199315
190	46915	198717
191	47083	198143
192	47266	197639
193	47432	197063
194	47648	196702
195	47842	196250
196	48149	196262
197	48310	195682
198	48483	195152
199	48657	194628
200	48829	194104
201	49014	193631
202	49202	193173
203	49379	192677
204	49562	192204
205	49728	191672
206	49909	191199
207	50078	190683
208	50255	190201
209	50425	189695
210	50620	189288
211	50821	188904
212	51018	188506
213	51194	188030
214	51374	187575
215	51537	187061
216	51710	186585
217	51879	186100
218	52062	185666
219	52256	185271
220	52435	184827
221	52639	184475
222	52879	184248
223	53125	184041
224	53297	183579
225	53491	183197
226	53705	182884
227	53895	182488
228	54072	182050
229	54247	181610
230	54416	181152
231	54588	180706
232	54765	180280
233	54934	179826
234	55135	179482
235	55330	179121
236	55519	178740
237	55704	178349
238	55888	177953
239	56066	177544
240	56253	177162
241	56434	176765
242	56622	176391
243	56866	176192
244	57077	175893
245	57252	175480
246	57429	175079
247	57619	174715
248	57788	174295
249	57991	173974
250	58206	173691
251	58382	173294
252	58555	172887
253	58738	172514
254	58910	172109
255	59092	171738
256	59264	171337
257	59450	170978
258	59640	170631
259	59844	170327
260	60023	169952
261	60197	169563
262	60400	169258
263	60641	169060
264	61053	169336
265	61394	169413
266	61727	169462
267	61989	169315
268	62233	169116
269	62597	169245
270	63055	169620
271	63390	169662
272	63622	169427
273	63922	169370
274	64314	169555
275	64549	169326
276	64774	169067
277	65007	168832
278	65242	168601
279	65506	168446
280	65842	168473
281	66172	168480
282	66463	168390
283	66777	168354
284	67003	168096
285	67277	167959
286	67499	167690
287	67702	167374
288	67912	167078
289	68100	166729
290	68323	166465
291	68614	166366
292	68961	166401
293	69266	166332
294	69539	166188
295	69744	165879
296	69971	165623
297	70218	165413
298	70431	165124
299	70616	164772
300	70794	164404
301	70992	164081
302	71201	163787
303	71427	163531
304	71620	163201
305	71819	162885
306	71992	162511
